year,fuel,fuel_cost
2007,LSFO,9.884283333
2007,Coal,1.823302078
2007,High-Sulfur-Diesel,16.62090833
2008,LSFO,17.39921111
2008,Coal,1.939889096
2008,High-Sulfur-Diesel,17.10719167
