fuel	co2_intensity	upstream_co2_intensity
ULSD	0.0	0.0
Coal	0.0	0.0
Biocrude	0.0	0.0
LSFO	0.0	0.0
High-Sulfur-Diesel	0.0	0.0
Biodiesel	0.0	0.0
LNG	0.0	0.0
