timepoint_id	timestamp	timeseries
150100	2015-01-15-00:00	1501
150101	2015-01-15-01:00	1501
150102	2015-01-15-02:00	1501
150103	2015-01-15-03:00	1501
150104	2015-01-15-04:00	1501
150105	2015-01-15-05:00	1501
150106	2015-01-15-06:00	1501
150107	2015-01-15-07:00	1501
150108	2015-01-15-08:00	1501
150109	2015-01-15-09:00	1501
150110	2015-01-15-10:00	1501
150111	2015-01-15-11:00	1501
150112	2015-01-15-12:00	1501
150113	2015-01-15-13:00	1501
150114	2015-01-15-14:00	1501
150115	2015-01-15-15:00	1501
150116	2015-01-15-16:00	1501
150117	2015-01-15-17:00	1501
150118	2015-01-15-18:00	1501
150119	2015-01-15-19:00	1501
150120	2015-01-15-20:00	1501
150121	2015-01-15-21:00	1501
150122	2015-01-15-22:00	1501
150123	2015-01-15-23:00	1501
150700	2015-07-15-00:00	1507
150701	2015-07-15-01:00	1507
150702	2015-07-15-02:00	1507
150703	2015-07-15-03:00	1507
150704	2015-07-15-04:00	1507
150705	2015-07-15-05:00	1507
150706	2015-07-15-06:00	1507
150707	2015-07-15-07:00	1507
150708	2015-07-15-08:00	1507
150709	2015-07-15-09:00	1507
150710	2015-07-15-10:00	1507
150711	2015-07-15-11:00	1507
150712	2015-07-15-12:00	1507
150713	2015-07-15-13:00	1507
150714	2015-07-15-14:00	1507
150715	2015-07-15-15:00	1507
150716	2015-07-15-16:00	1507
150717	2015-07-15-17:00	1507
150718	2015-07-15-18:00	1507
150719	2015-07-15-19:00	1507
150720	2015-07-15-20:00	1507
150721	2015-07-15-21:00	1507
150722	2015-07-15-22:00	1507
150723	2015-07-15-23:00	1507
200100	2020-01-15-00:00	2001
200101	2020-01-15-01:00	2001
200102	2020-01-15-02:00	2001
200103	2020-01-15-03:00	2001
200104	2020-01-15-04:00	2001
200105	2020-01-15-05:00	2001
200106	2020-01-15-06:00	2001
200107	2020-01-15-07:00	2001
200108	2020-01-15-08:00	2001
200109	2020-01-15-09:00	2001
200110	2020-01-15-10:00	2001
200111	2020-01-15-11:00	2001
200112	2020-01-15-12:00	2001
200113	2020-01-15-13:00	2001
200114	2020-01-15-14:00	2001
200115	2020-01-15-15:00	2001
200116	2020-01-15-16:00	2001
200117	2020-01-15-17:00	2001
200118	2020-01-15-18:00	2001
200119	2020-01-15-19:00	2001
200120	2020-01-15-20:00	2001
200121	2020-01-15-21:00	2001
200122	2020-01-15-22:00	2001
200123	2020-01-15-23:00	2001
200700	2020-07-15-00:00	2007
200701	2020-07-15-01:00	2007
200702	2020-07-15-02:00	2007
200703	2020-07-15-03:00	2007
200704	2020-07-15-04:00	2007
200705	2020-07-15-05:00	2007
200706	2020-07-15-06:00	2007
200707	2020-07-15-07:00	2007
200708	2020-07-15-08:00	2007
200709	2020-07-15-09:00	2007
200710	2020-07-15-10:00	2007
200711	2020-07-15-11:00	2007
200712	2020-07-15-12:00	2007
200713	2020-07-15-13:00	2007
200714	2020-07-15-14:00	2007
200715	2020-07-15-15:00	2007
200716	2020-07-15-16:00	2007
200717	2020-07-15-17:00	2007
200718	2020-07-15-18:00	2007
200719	2020-07-15-19:00	2007
200720	2020-07-15-20:00	2007
200721	2020-07-15-21:00	2007
200722	2020-07-15-22:00	2007
200723	2020-07-15-23:00	2007
250100	2025-02-15-00:00	2501
250101	2025-02-15-01:00	2501
250102	2025-02-15-02:00	2501
250103	2025-02-15-03:00	2501
250104	2025-02-15-04:00	2501
250105	2025-02-15-05:00	2501
250106	2025-02-15-06:00	2501
250107	2025-02-15-07:00	2501
250108	2025-02-15-08:00	2501
250109	2025-02-15-09:00	2501
250110	2025-02-15-10:00	2501
250111	2025-02-15-11:00	2501
250112	2025-02-15-12:00	2501
250113	2025-02-15-13:00	2501
250114	2025-02-15-14:00	2501
250115	2025-02-15-15:00	2501
250116	2025-02-15-16:00	2501
250117	2025-02-15-17:00	2501
250118	2025-02-15-18:00	2501
250119	2025-02-15-19:00	2501
250120	2025-02-15-20:00	2501
250121	2025-02-15-21:00	2501
250122	2025-02-15-22:00	2501
250123	2025-02-15-23:00	2501
250700	2025-08-15-00:00	2507
250701	2025-08-15-01:00	2507
250702	2025-08-15-02:00	2507
250703	2025-08-15-03:00	2507
250704	2025-08-15-04:00	2507
250705	2025-08-15-05:00	2507
250706	2025-08-15-06:00	2507
250707	2025-08-15-07:00	2507
250708	2025-08-15-08:00	2507
250709	2025-08-15-09:00	2507
250710	2025-08-15-10:00	2507
250711	2025-08-15-11:00	2507
250712	2025-08-15-12:00	2507
250713	2025-08-15-13:00	2507
250714	2025-08-15-14:00	2507
250715	2025-08-15-15:00	2507
250716	2025-08-15-16:00	2507
250717	2025-08-15-17:00	2507
250718	2025-08-15-18:00	2507
250719	2025-08-15-19:00	2507
250720	2025-08-15-20:00	2507
250721	2025-08-15-21:00	2507
250722	2025-08-15-22:00	2507
250723	2025-08-15-23:00	2507
300100	2030-02-15-00:00	3001
300101	2030-02-15-01:00	3001
300102	2030-02-15-02:00	3001
300103	2030-02-15-03:00	3001
300104	2030-02-15-04:00	3001
300105	2030-02-15-05:00	3001
300106	2030-02-15-06:00	3001
300107	2030-02-15-07:00	3001
300108	2030-02-15-08:00	3001
300109	2030-02-15-09:00	3001
300110	2030-02-15-10:00	3001
300111	2030-02-15-11:00	3001
300112	2030-02-15-12:00	3001
300113	2030-02-15-13:00	3001
300114	2030-02-15-14:00	3001
300115	2030-02-15-15:00	3001
300116	2030-02-15-16:00	3001
300117	2030-02-15-17:00	3001
300118	2030-02-15-18:00	3001
300119	2030-02-15-19:00	3001
300120	2030-02-15-20:00	3001
300121	2030-02-15-21:00	3001
300122	2030-02-15-22:00	3001
300123	2030-02-15-23:00	3001
300700	2030-08-15-00:00	3007
300701	2030-08-15-01:00	3007
300702	2030-08-15-02:00	3007
300703	2030-08-15-03:00	3007
300704	2030-08-15-04:00	3007
300705	2030-08-15-05:00	3007
300706	2030-08-15-06:00	3007
300707	2030-08-15-07:00	3007
300708	2030-08-15-08:00	3007
300709	2030-08-15-09:00	3007
300710	2030-08-15-10:00	3007
300711	2030-08-15-11:00	3007
300712	2030-08-15-12:00	3007
300713	2030-08-15-13:00	3007
300714	2030-08-15-14:00	3007
300715	2030-08-15-15:00	3007
300716	2030-08-15-16:00	3007
300717	2030-08-15-17:00	3007
300718	2030-08-15-18:00	3007
300719	2030-08-15-19:00	3007
300720	2030-08-15-20:00	3007
300721	2030-08-15-21:00	3007
300722	2030-08-15-22:00	3007
300723	2030-08-15-23:00	3007
