TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
1501	2015	1.0	24	913.125
1507	2015	1.0	24	913.125
2001	2020	1.0	24	913.125
2007	2020	1.0	24	913.125
2501	2025	1.0	24	913.125
2507	2025	1.0	24	913.125
3001	2030	1.0	24	913.125
3007	2030	1.0	24	913.125
