month,year,sulfhon,sulfka,sulfwai,dieswai,diescip,gencompcost,purcompcost,ecaf,prophon,propkahe,propwaisteam,propwaidies,propcipdies,propcipbiodies,propothersgen,ppricethcon,ppricethcoff,ppricepv,ppricehrrvon,ppricehrrvoff,ppricehhrvexcon,ppricehhrvexcoff,ppricekapaaon,ppricekapaaoff,ppricechevon,ppricechevoff,ppricekalaeloa,ppriceaes,ppricekawailoa,ppricekahuku,ppriceasavail,ppricefit,propthcon,propthcoff,proppv,prophhrvon,prophhrvoff,prophhrvexcon,prophhrvexcoff,propkapaaon,propkapaaoff,propchevon,propchevoff,propkalaeloa,propaes,propkawailoa,propkahuku,propasavail,propfit,genmix,purmix,dgmix,dgcompcost
12,2000,578.38,571.28,572.42,648.22,,571.74,3.977,2.451,1.29,73.59,25.01,0.11,0,0,0,7.2,5.56,,7.21,5.6,7.2,5.56,6.7,5.19,7.2,5.56,5.151,2.325,,,,,0.09,0.07,,6.67,2.77,0,1.07,0.21,0.15,0.01,0.01,41.74,47.21,,,,,55.56,44.44,0,0
1,2001,555.88,549.58,550.6,648.57,,550.13,3.727,2.169,1.13,73.18,25.47,0.22,0,0,0,7.73,5.95,,7.73,5.95,7.73,5.95,7.15,5.5,7.73,5.95,4.384,2.337,,,,,0.09,0.06,,6.69,2.78,0,1.18,0.21,0.15,0.01,0.01,42.17,46.65,,,,,55.35,44.65,0,0
2,2001,510.87,504.42,505.72,648.58,,505.13,3.733,1.947,1.94,72.88,25,0.18,0,0,0,7.73,5.95,,7.73,5.95,7.73,5.95,7.15,5.5,7.73,5.95,4.284,2.375,,,,,0.1,0.08,,5.55,2.24,0,1.3,0.25,0.17,0.01,0.01,47.56,42.73,,,,,60.82,39.18,0,0
3,2001,472.79,466.44,467.83,662.43,,467.01,3.531,1.603,2.46,73.21,24.29,0.04,0,0,0,7.73,5.95,,7.73,5.95,7.73,5.95,7.15,5.5,7.73,5.95,4.623,2.339,,,,,0.11,0.08,,4.99,1.98,0,1.44,0.25,0.18,0.01,0.01,33.82,57.13,,,,,62.74,37.26,0,0
4,2001,470.32,463.64,464.88,665.98,,464.34,3.699,1.612,1.7,70.87,27.31,0.12,0,0,0,6.58,5.1,,7.21,5.6,6.7,5.19,6.7,5.19,6.58,5.1,4.706,2.338,,,,,0.1,0.07,,7.28,3.03,0,1.21,0.23,0.16,0.01,0.01,35.96,51.94,,,,,59.59,40.41,0,0
5,2001,467.68,460.97,462.29,662.04,,461.65,3.953,1.645,3.11,66.1,30.76,0.03,0,0,0,6.58,5.1,,7.21,5.6,6.7,5.19,6.7,5.19,6.58,5.1,5.015,2.339,,,,,0.09,0.06,,6.63,2.76,0,1.17,0.21,0.15,0.01,0.01,42.9,46.01,,,,,56.21,43.79,0,0
6,2001,488.92,482.28,483.62,686.43,,483.03,3.917,1.788,2.65,68.19,29.07,0.09,0,0,0,6.58,5.1,,7.21,5.6,6.7,5.19,6.7,5.19,6.58,5.1,5.005,2.339,,,,,0.09,0.06,,6.59,2.73,0,1.97,0.21,0.15,0.01,0.01,40.96,47.22,,,,,57.21,42.79,0,0
7,2001,531.46,524.61,525.89,662.69,,525.57,3.908,2.085,2.84,65.2,31.7,0.26,0,0,0,7.4,5.71,,7.4,5.71,7.4,5.71,6.85,5.28,7.4,5.71,4.886,2.36,,,,,0.09,0.06,,6.56,2.73,0,1.96,0.21,0.15,0.01,0.01,41.12,47.1,,,,,57.29,42.71,0,0
8,2001,553.73,547.02,548.37,662.4,,548.25,3.82,2.236,4.25,63.54,31.76,0.45,0,0,0,7.4,5.71,,7.4,5.71,7.4,5.71,6.85,5.28,7.4,5.71,4.586,2.391,,,,,0.13,0.09,,6.38,2.65,0,1.91,0.16,0.12,0.01,0,42.73,45.82,,,,,56.41,43.59,0,0
9,2001,550.03,542.66,544.06,662.39,,543.71,3.625,2.153,3.74,62.64,33.36,0.26,0,0,0,7.4,5.71,,7.4,5.71,7.4,5.71,6.85,5.28,7.4,5.71,4.149,2.391,,,,,0.13,0.09,,6.2,2.57,0,1.86,0.16,0.12,0.01,0,42.97,45.89,,,,,58.33,41.67,0,0
10,2001,509.17,502.18,503.54,642.12,,503.2,3.668,1.868,4.72,62.69,32.41,0.18,0,0,0,7.1,5.49,,7.21,5.6,7.1,5.49,6.7,5.19,7.1,5.49,4.297,2.391,,,,,0.13,0.09,,6.08,2.51,0,1.83,0.16,0.12,0.01,0,43.41,45.66,,,,,57.51,42.49,0,0
11,2001,460.74,453.94,455.3,644.38,,454.89,3.375,1.336,3.72,64.43,31.71,0.14,0,0,0,7.1,5.49,,7.21,5.6,7.1,5.49,6.7,5.19,7.1,5.49,3.591,2.391,,,,,0.13,0.09,,6.4,2.66,0,1.91,0.16,0.12,0.01,0,42.63,45.89,,,,,56.09,43.91,0,0
12,2001,440.1,433.32,434.68,644.44,,434,3.199,1.113,1.56,71.67,26.67,0.1,0,0,0,7.1,5.49,,7.21,5.6,7.1,5.49,6.7,5.19,7.1,5.49,3.226,2.391,,,,,0.13,0.09,,6.65,2.76,0,1.07,0.17,0.12,0.01,0,41.32,47.68,,,,,56.77,43.23,0,0
1,2002,376.59,369.2,370.72,625.92,,369.88,3.2,0.636,2.04,71.58,26.33,0.05,0,0,0,5.32,4.16,,7.21,5.6,6.7,5.19,6.7,5.19,5.32,4.16,3.218,2.409,,,,,0.13,0.09,,6.57,2.73,0,1.16,0.17,0.12,0.01,0.01,42.03,46.98,,,,,52.92,47.08,0,0
2,2002,337.73,330.33,331.54,566.08,,331.18,3.219,0.395,2.57,70.17,27.12,0.14,0,0,0,5.32,4.16,,7.21,5.6,6.7,5.19,6.7,5.19,5.32,4.16,3.267,2.409,,,,,0.13,0.1,,6.69,2.78,0,1.13,0.17,0.12,0.01,0,41.02,47.85,,,,,54.53,45.47,0,0
3,2002,348.09,341.9,343.1,566.45,,342.49,3.085,0.423,2.54,70.96,26.45,0.05,0,0,0,5.32,4.16,,7.21,5.6,6.7,5.19,6.7,5.19,5.32,4.16,3.519,2.409,,,,,0.15,0.1,,2.34,0.97,0,0.29,0.19,0.13,0.01,0,45.61,50.21,,,,,58.17,41.83,0,0
4,2002,366.28,358.19,359.38,566.45,,360.01,3.481,0.758,3.68,67.53,28.22,0.57,0,0,0,5.19,4.06,,7.21,5.6,6.7,5.19,6.7,5.19,5.19,4.06,4.237,2.41,,,,,0.16,0.11,,8.14,3.38,0,1.49,0.21,0.15,0.01,0,27.96,58.39,,,,,62.96,37.04,0,0
5,2002,399.34,391.82,392.79,566.45,,393.08,3.574,1.023,4.26,61.57,33.82,0.35,0,0,0,5.19,4.06,,7.21,5.6,6.7,5.19,6.7,5.19,5.19,4.06,4.101,2.41,,,,,0.13,0.09,,6.44,2.67,0,1.14,0,0,0.01,0,43.32,46.2,,,,,54.86,45.14,0,0
6,2002,457.25,450.42,451.54,566.45,,452.09,3.693,1.506,5.57,59.47,34.18,0.78,0,0,0,5.19,4.06,,7.21,5.6,6.7,5.19,6.7,5.19,5.19,4.06,4.368,2.41,,,,,0.13,0.09,,6.47,2.69,0,1.93,0,0,0.01,0,42.26,46.42,,,,,56.83,43.17,0,0
7,2002,455.9,448.91,449.94,564.24,,450.38,3.743,1.511,4.44,61.63,33.22,0.71,0,0,0,6.4,4.96,,7.21,5.6,6.7,5.19,6.7,5.19,6.4,4.96,4.421,2.435,,,,,0.13,0.09,,6.34,2.63,0,1.89,0,0,0.01,0,43.43,45.48,,,,,56.1,43.9,0,0
8,2002,467.525,461.15,462.21,566,,465.95,3.759,1.62,4.55,64.595,30.425,0.43,0,0,0,6.4,4.96,,7.21,5.6,6.7,5.19,6.7,5.19,6.4,4.96,4.5025,2.43,,,,,0.12,0.085,,5.985,2.64,0,1.635,0,0,0.01,0.005,43.545,45.975,,,,,57.81,42.19,0,0
9,2002,479.15,473.39,474.48,567.76,,474.1,3.766,1.698,4.66,67.56,27.63,0.15,0,0,0,6.4,4.96,,7.21,5.6,6.7,5.19,6.7,5.19,6.4,4.96,4.584,2.425,,,,,0.11,0.08,,5.63,2.65,0,1.38,0,0,0.01,0.01,43.66,46.47,,,,,59.52,40.48,0,0
10,2002,491.16,485.09,486.1,567.82,,485.94,4.056,1.956,3.57,67.37,28.64,0.42,0,0,0,6.87,5.31,,7.21,5.6,6.87,5.31,,,6.87,5.31,4.756,2.465,,,,,0.12,0.09,,6.78,2.96,0,1.89,,,0.01,0.01,48.61,39.53,,,,,62.35,37.65,0,0
11,2002,518.6,512.06,513.11,567.83,,512.58,3.912,2.048,1.13,68.42,30.22,0.23,0,0,0,6.87,5.31,,7.21,5.6,6.87,5.31,,,6.87,5.31,4.883,2.424,,,,,0.11,0.08,,6.2,2.7,0,1.73,,,0.01,0.01,42.59,46.57,,,,,57.35,42.65,0,0
12,2002,540.93,535.3,536.43,567.83,,535.84,3.826,2.168,2.64,69.19,27.94,0.23,0,0,0,6.87,5.31,,7.21,5.6,6.87,5.31,,,6.87,5.31,4.727,2.424,,,,,0.11,0.08,,6.33,2.76,0,1.17,,,0.01,0.01,42.1,47.43,,,,,57.28,42.72,0,0
1,2003,535.2,528.24,529.33,567.83,,528.78,4.17,2.286,1.11,71.15,27.33,0.41,0,0,0,7.45,5.74,,7.45,5.74,7.45,5.74,,,7.45,5.74,5.458,2.462,,,,,0.12,0.09,,6.6,2.87,0,1.22,,,0.01,0.01,41.21,47.87,,,,,57.03,42.97,0,0
2,2003,554.31,547.39,548.44,630.06,,547.9,4.182,2.421,1.29,70.09,28.47,0.15,0,0,0,7.45,5.74,,7.45,5.74,7.45,5.74,,,7.45,5.74,5.545,2.439,,,,,0.12,0.08,,6.42,2.79,0,1.14,,,0.01,0.01,41.28,48.15,,,,,56.93,43.07,0,0
3,2003,581.13,574.25,575.42,636.57,,575.24,4.111,2.747,2.76,67.9,28.6,0.74,0,0,0,7.45,5.74,,7.45,5.74,7.45,5.74,,,7.45,5.74,6.417,2.439,,,,,0.14,0.1,,4.94,2.55,0,0.66,,,0.01,0.01,32.85,58.74,,,,,64.48,35.52,0,0
4,2003,595.35,588.28,589.4,636.65,,589,4.295,2.855,2.12,70.41,26.91,0.56,0,0,0,8.25,6.34,,8.25,6.34,8.25,6.34,,,8.25,6.34,6.084,2.439,,,,,0.13,0.09,,6.38,3.04,0,0.99,,,0.01,0.01,36.11,53.24,,,,,61.04,38.96,0,0
5,2003,586.32,579.325,580.52,669.88,,596.95,4.485,2.918,3.485,64.275,31.485,0.755,0,0,0,8.25,6.34,,8.25,6.34,8.25,6.34,,,8.25,6.34,5.958,2.439,,,,,0.12,0.085,,6.235,2.845,0,1.345,,,0.01,0.01,39.815,49.535,,,,,59.16,40.84,0,0
6,2003,577.29,570.37,571.64,703.11,,572.42,4.45,2.734,4.85,58.14,36.06,0.95,0,0,0,8.25,6.34,,8.25,6.34,8.25,6.34,,,8.25,6.34,5.832,2.439,,,,,0.11,0.08,,6.09,2.65,0,1.7,,,0.01,0.01,43.52,45.83,,,,,57.28,42.72,0,0
7,2003,551.33,544.58,545.91,662.86,,546.75,3.996,2.33,5.14,58.69,35.02,1.15,0,0,0,7.69,5.92,,7.69,5.92,7.69,5.92,,,7.69,5.92,4.875,2.467,,,,,0.11,0.08,,6.06,2.64,0,1.69,,,0.01,0,43.78,45.63,,,,,57.41,42.59,0,0
8,2003,534.74,537.17,538.52,652.4,,538.82,4.043,2.24,4.79,61.99,32.44,0.78,0,0,0,7.69,5.92,,7.69,5.92,7.69,5.92,,,7.69,5.92,4.939,2.467,,,,,0.11,0.08,,6.18,2.69,0,1.72,,,0.01,0.01,44.18,45.02,,,,,59.4,40.6,0,0
9,2003,536.53,529.1,530.61,652.11,,530.97,3.928,2.13,5.07,64.52,29.56,0.85,0,0,0,7.69,5.92,,7.69,5.92,7.69,5.92,,,7.69,5.92,4.726,2.467,,,,,0.11,0.08,,6.09,2.65,0,1.7,,,0.01,0.01,43.54,45.81,,,,,59.53,40.47,0,0
10,2003,532.3,524.87,526.37,654.4,,525.89,3.841,2.041,3.47,67.32,28.96,0.25,0,0,0,7.41,5.71,,7.41,5.71,7.41,5.71,,,7.41,5.71,4.64,2.467,,,,,0.11,0.08,,5.71,2.64,0,1.44,,,0.01,0,43.78,46.23,,,,,58.95,41.05,0,0
11,2003,519.59,511.52,513.08,659.36,,512.75,3.954,2.048,4.14,73.28,22.21,0.37,0,0,0,7.41,5.71,,7.41,5.71,7.41,5.71,,,7.41,5.71,4.802,2.471,,,,,0.11,0.08,,6,2.68,0,1.61,,,0.01,0,44.57,44.94,,,,,57.68,42.32,0,0
12,2003,536.72,528.77,529.92,659.8,,529.55,3.981,2.175,3.24,72.85,23.72,0.19,0,0,0,7.41,5.71,,7.41,5.71,7.41,5.71,,,7.41,5.71,5.007,2.467,,,,,0.11,0.08,,6.01,2.71,0,1.01,,,0.01,0.01,42.81,47.25,,,,,57.43,42.57,0,0
1,2004,571.58,563.68,565.22,662.14,,565.03,4.252,2.572,4.67,62.62,32.22,0.49,0,0,0,7.93,6.1,,7.93,6.1,7.93,6.1,,,7.93,6.1,5.468,2.497,,,,,0.15,0.1,,6.59,2.84,0,1.87,,,0.01,0,40.89,47.55,,,,,58.06,41.94,0,0
2,2004,585.64,577.34,578.53,662.36,,578.41,4.154,2.599,3.9,61.45,34.25,0.4,0,0,0,7.93,6.1,,7.93,6.1,7.93,6.1,,,7.93,6.1,5.198,2.492,,,,,0.14,0.1,,6.25,2.69,0,1.77,,,0.01,0,42.49,46.55,,,,,56.16,43.84,0,0
3,2004,562.58,556.03,557.43,694.91,,557.13,4.583,2.726,4.19,63.32,32.22,0.27,0,0,0,7.93,6.1,,7.93,6.1,7.93,6.1,,,7.93,6.1,5.616,2.534,,,,,0.15,0.11,,6.86,2.96,0,1.94,,,0.01,0.01,48.38,39.58,,,,,59.86,40.14,0,0
4,2004,576.13,565.94,567.3,697.61,,567.65,4.187,2.698,3.34,69.68,26.21,0.77,0,0,0,7.97,6.13,,7.894,6.077,7.894,6.077,,,7.97,6.13,5.937,2.492,,,,,0.17,0.12,,5.93,2.6,0,1.64,,,0.01,0,35.08,54.45,,,,,63.65,36.35,0,0
5,2004,602.82,592.9,594.22,760.61,,595.81,4.166,2.892,5.49,63.74,29.59,1.18,0,0,0,7.97,6.18,,7.894,6.077,7.894,6.077,,,7.97,6.13,6.085,2.492,,,,,0.17,0.12,,8.06,3.37,0,2.39,,,0.01,0.01,28.31,57.56,,,,,65.75,34.25,0,0
6,2004,581.48,576.9,578.16,905.03,,578.98,4.453,2.75,4.81,67.03,27.7,0.46,0,0,0,7.97,6.13,,7.894,6.077,7.894,6.077,,,7.97,6.13,5.937,2.492,,,,,0.14,0.1,,6.6,2.75,0,1.96,,,0.01,0,41.34,47.1,,,,,59.49,40.51,0,0
7,2004,601.14,594.86,596.18,1009.97,,595.98,4.365,2.811,3.48,72.32,24.06,0.14,0,0,0,8.35,6.41,,8.236,6.329,8.236,6.329,,,8.35,6.41,5.551,2.49,,,,,0.13,0.09,,6.4,2.67,0,1.9,,,0.02,0.01,43.09,45.69,,,,,58.42,41.58,0,0
8,2004,609.36,600.67,602.17,922.08,,601.51,4.469,3,4.8,73.67,21.5,0.03,0,0,0,8.35,6.41,,8.236,6.329,8.236,6.329,,,8.35,6.41,5.777,2.49,,,,,0.12,0.09,,6.36,2.66,0,1.89,,,0.02,0.01,43.41,45.44,,,,,59.67,40.33,0,0
9,2004,628.34,620.53,622.1,991.16,,624.97,5.058,3.448,5.93,75.43,17.69,0.95,0,0,0,8.35,6.41,,8.236,6.329,8.236,6.329,,,8.35,6.41,7.124,2.49,,,,,0.12,0.09,,6.35,2.65,0,1.89,,,0.02,0.01,43.51,45.36,,,,,59.72,40.28,0,0
10,2004,699.68,691.95,693.34,1023.27,,693.04,4.944,3.925,2.16,76.79,20.86,0.19,0,0,0,9.64,7.37,,9.275,7.104,9.275,7.104,,,9.64,7.37,6.867,2.495,,,,,0.12,0.09,,5.07,2.7,0,0.92,,,0,0,44.04,47.06,,,,,60.87,39.13,0,0
11,2004,730.14,722.68,723.96,1051.25,,724.09,5.137,4.382,2.26,74.97,22.48,0.29,0,0,0,9.64,7.37,,9.275,7.104,9.275,7.104,,,9.64,7.37,7.898,2.495,,,,,0.14,0.1,,7.07,3.05,0,2,,,0,0,35.44,52.2,,,,,63.57,36.43,0,0
12,2004,789.49,780.73,782.19,1095.09,,781.65,4.655,4.575,1.82,76.27,21.77,0.14,0,0,0,9.64,7.37,,9.275,7.104,9.275,7.104,,,9.64,7.37,6.566,2.495,,,,,0.14,0.1,,7.11,3.07,0,2.01,,,0,0,35.1,52.47,,,,,62.32,37.68,0,0
1,2005,722.15,711.93,711.08,1109.77,,713.04,4.212,3.578,2.42,62.94,34.35,0.29,0,0,0,9.91,7.57,,9.505,7.274,9.505,7.274,,,9.91,7.57,4.863,2.516,,,,,0.12,0.08,,6.02,2.59,0,1.7,,,0,0,45.09,44.4,,,,,55.05,44.95,0,0
2,2005,628.48,616.1,616.1,1097.09,,616.23,4.644,3.061,1.06,65.97,32.97,0,0,0,0,9.91,7.57,,9.505,7.274,9.505,7.274,,,9.91,7.57,5.815,2.516,,,,,0.13,0.09,,6.01,2.59,0,1.7,,,0,0,45.15,44.33,,,,,54.64,45.36,0,0
3,2005,597.52,587.05,587.05,1099.73,,587.14,4.735,2.985,0.84,77.56,21.6,0,0,0,0,9.91,7.57,,9.505,7.274,9.505,7.274,,,9.91,7.57,6.488,2.516,,,,,0.13,0.1,,6.84,2.95,0,1.93,,,0,0,37.61,50.44,,,,,58.78,41.22,0,0
4,2005,674.37,660.27,660.27,1100.36,,661.75,4.755,3.728,1.48,72.88,25.35,0.29,0,0,0,9.23,7.06,,8.927,6.841,8.927,6.841,,,9.23,7.06,8.046,2.516,,,,,0.16,0.12,,3.65,1.61,0,0.99,,,0,0,33.93,59.54,,,,,66.38,33.62,0,0
5,2005,735.76,735.76,735.76,1100.67,,735.8,5.229,4.369,1.85,65.09,33.05,0.01,0,0,0,9.23,7.06,,8.927,6.841,8.927,6.841,,,9.23,7.06,7.54,2.516,,,,,0.12,0.09,,3.08,1.39,0,0.81,,,0,0,47.93,46.58,,,,,58.84,41.16,0,0
6,2005,841.67,841.67,841.67,1134.36,,841.85,5.131,5.037,2.51,62.89,34.54,0.06,0,0,0,9.23,7.06,,8.927,6.841,8.927,6.841,,,9.23,7.06,6.98,2.516,,,,,0.12,0.09,,5.96,2.57,0,1.68,,,0,0,45.63,43.95,,,,,57.69,42.31,0,0
7,2005,856.55,856.55,856.55,1259.78,,858.53,5.695,5.452,0.98,67.76,30.77,0.49,0,0,0,11.86,9.01,,10.697,8.157,10.697,8.157,,,11.86,9.01,7.861,2.541,,,,,0.12,0.08,,6,2.59,0,1.69,,,0,0,45.26,44.26,,,,,58.27,41.73,0,0
8,2005,849.73,849.73,849.73,1272.86,,854.24,5.989,5.552,1.3,65.7,31.85,1.15,0,0,0,11.86,9.01,,10.697,8.157,10.697,8.157,,,11.86,9.01,8.465,2.541,,,,,0.12,0.08,,5.95,2.57,0,1.68,,,0,0,45.7,43.9,,,,,59.17,40.83,0,0
9,2005,914.59,914.59,914.5,1363.62,,915.26,6.165,6.088,3.67,67.22,28.96,0.15,0,0,0,11.86,9.01,,10.697,8.157,10.697,8.157,,,11.86,9.01,8.843,2.562,,,,,0.07,0.05,,5.96,2.57,0,1.68,,,0,0,45.71,43.96,,,,,59.4,40.6,0,0
10,2005,953.08,953.08,953.08,1502.86,,954.07,6.378,6.469,2.94,71.73,25.15,0.18,0,0,0,13.14,9.96,,11.657,8.87,11.657,8.87,,,13.14,9.96,9.203,2.562,,,,,0.07,0.05,,5.5,2.56,0,1.37,,,0,0,46.03,44.42,,,,,59.35,40.65,0,0
11,2005,991.07,991.07,991.07,1546.04,,992.4,6.125,6.554,1.58,77.58,20.6,0.24,0,0,0,13.14,9.96,,11.657,8.87,11.657,8.87,,,13.14,9.96,8.551,2.562,,,,,0.07,0.05,,5.95,2.56,0,1.68,,,0,0,45.8,43.89,,,,,57.46,42.54,0,0
12,2005,988.1,988.1,988.1,1608.83,,988.22,5.742,6.331,0.98,76.2,22.8,0.02,0,0,0,13.14,9.96,,11.657,8.87,11.657,8.87,,,13.14,9.96,8.026,2.562,,,,,0.07,0.05,,4.52,2.39,0,0.84,,,0,0,46.74,45.39,,,,,57.38,42.62,0,0
1,2006,925.96,925.96,925.96,1597.78,,929.25,6.607,6.483,1.76,67.75,30,0.49,0,0,0,12.81,9.72,,11.41,8.69,11.41,8.69,,,12.81,9.72,8.502,2.588,,,,,0.11,0.08,,6.81,2.93,0,1.93,,,0,0,52.5,35.64,,,,,61.07,38.93,0,0
2,2006,913.74,913.74,913.74,1594.33,,919.25,7.187,6.677,2.78,65.65,30.76,0.81,0,0,0,12.81,9.72,,11.41,8.69,11.41,8.69,,,12.81,9.72,9.32,2.588,,,,,0.13,0.09,,7.06,3.04,0,2,,,0,0,54.2,33.48,,,,,62.26,37.74,0,0
3,2006,948.83,948.83,948.83,1531,,950.81,6.3,6.274,2.28,62.75,34.63,0.34,0,0,0,12.81,9.72,,11.41,8.69,11.41,8.69,,,12.81,9.72,9.046,2.588,,,,,0.1,0.07,,5.41,2.55,0,1.32,,,0,0,46.19,44.36,,,,,56.43,43.57,0,0
4,2006,983.91,983.91,983.91,1530.31,,987.13,5.615,6.816,1.81,69.34,28.26,0.59,0,0,0,13.58,10.29,,11.987,9.117,11.987,9.117,,,13.58,10.29,9.914,2.588,,,,,0.14,0.1,,5.35,3.28,0,0.54,,,0,0,30.74,59.85,,,,,67.86,32.14,0,0
5,2006,1003.86,1003.86,1003.86,1532.68,,1011.26,6.573,7.026,3.46,61.29,33.85,1.4,0,0,0,13.58,10.29,,11.987,9.117,11.987,9.117,,,13.58,10.29,10.273,2.588,,,,,0.11,0.08,,6.64,2.86,0,1.88,,,0,0,39.47,48.96,,,,,61.37,38.63,0,0
6,2006,1060.43,1060.43,1060.43,1559.15,,1069.26,6.747,7.421,3.46,65.55,29.22,1.77,0,0,0,13.58,10.29,,11.987,9.117,11.987,9.117,,,13.58,10.29,9.927,2.588,,,,,0.1,0.08,,6.04,2.61,0,1.71,,,0,0,44.86,44.6,,,,,59.1,40.9,0,0
7,2006,1083.13,1083.13,1083.13,1656.56,,1088.23,6.75,7.553,1.25,64.07,33.79,0.89,0,0,0,14.93,11.3,,13,9.875,13,9.875,,,14.93,11.3,9.624,2.614,,,,,0.1,0.07,,5.98,2.58,0,1.69,,,0,0,45.46,44.12,,,,,58.96,41.04,0,0
8,2006,1083.84,1083.84,1083.84,1701.1,,1089.46,6.745,7.563,1.13,68.11,29.85,0.91,0,0,0,14.93,11.3,,13,9.875,13,9.875,,,14.93,11.3,9.604,2.614,,,,,0.1,0.07,,5.97,2.58,0,1.69,,,0,0,45.53,44.06,,,,,60.09,39.91,0,0
9,2006,1059.8,1059.8,1059.8,1706.14,,1060.83,6.786,7.397,3.81,66.33,29.7,0.16,0,0,0,14.93,11.3,,13,9.875,13,9.875,,,14.93,11.3,9.76,2.614,,,,,0.1,0.08,,6.03,2.6,0,1.71,,,0,0,44.97,44.51,,,,,60.65,39.35,0,0
