month,year,sulfhon,sulfka,sulfwai,dieswai,diescip,gencompcost,purcompcost,ecaf,prophon,propkahe,propwaisteam,propwaidies,propcipdies,propcipbiodies,propothersgen,ppricethcon,ppricethcoff,ppricepv,ppricehrrvon,ppricehrrvoff,ppricehhrvexcon,ppricehhrvexcoff,ppricekapaaon,ppricekapaaoff,ppricechevon,ppricechevoff,ppricekalaeloa,ppriceaes,ppricekawailoa,ppricekahuku,ppriceasavail,ppricefit,propthcon,propthcoff,proppv,prophhrvon,prophhrvoff,prophhrvexcon,prophhrvexcoff,propkapaaon,propkapaaoff,propchevon,propchevoff,propkalaeloa,propaes,propkawailoa,propkahuku,propasavail,propfit,genmix,purmix,dgmix,dgcompcost
1,2000,419.7,414.61,415.59,524.83,,415.36,3.521,1.116,3.34,79.23,17.06,0.37,0,0,0,5.93,4.61,,7.21,5.6,6.7,5.19,6.7,5.19,5.93,4.61,3.933,2.351,,,,,0.16,0.11,,6.69,2.79,0,1.08,0.27,0.19,0,0,44.16,44.55,,,,,54.12,45.88,0,0
2,2000,426.8,421.86,422.88,525,,422.6,3.508,1.152,3.02,79.24,17.34,0.4,0,0,0,5.93,4.61,,7.21,5.6,6.7,5.19,6.7,5.19,5.93,4.61,3.956,2.351,,,,,0.16,0.11,,6.37,2.66,0,1.06,0.27,0.2,0,0,43.92,45.25,,,,,53.66,46.34,0,0
3,2000,428.41,423.47,424.46,525,,424.07,3.748,1.395,3.69,70.78,25.37,0.16,0,0,0,5.93,4.61,,7.21,5.6,6.7,5.19,6.7,5.19,5.93,4.61,4.23,2.351,,,,,0.21,0.15,,3.47,1.45,0,0.72,0.36,0.25,0,0,59.97,33.42,,,,,66,34,0,0
4,2000,454.66,449.74,450.71,525,,450.32,4.096,1.775,3.08,69.54,27.16,0.22,0,0,0,6.4,4.96,,7.21,5.6,6.7,5.19,6.7,5.19,6.4,4.96,4.629,2.352,,,,,0.24,0.17,,10.15,4.23,0,1.61,0.41,0.29,0,0,45.13,37.77,,,,,70.03,29.97,0,0
5,2000,475.59,470.11,471.18,525,,470.76,3.51,1.655,3.96,65.83,30.01,0.2,0,0,0,6.4,4.96,,7.21,5.6,6.7,5.19,6.7,5.19,6.4,4.96,4.394,2.353,,,,,0.2,0.14,,8.57,3.58,0,1.52,0.34,0.25,0,0,26.86,58.54,,,,,65.4,34.6,0,0
6,2000,487.0475,481.7625,482.88,530.0675,,495.4,3.883,1.846,3.92,68.0075,27.8825,0.19,0,0,0,6.625,5.1275,,7.2325,5.6075,6.85,5.3,6.85,5.3,6.625,5.1275,4.5405,2.358,,,,,0.1725,0.12,,8.01,3.3075,0,1.6475,0.3075,0.225,0.0025,0.0025,30.575,55.63,,,,,63.57,36.43,0,0
7,2000,498.505,493.415,494.58,535.135,,517.58,3.905,2.015,3.88,70.185,25.755,0.18,0,0,0,6.85,5.295,,7.255,5.615,7,5.41,7,5.41,6.85,5.295,4.687,2.363,,,,,0.145,0.1,,7.45,3.035,0,1.775,0.275,0.2,0.005,0.005,34.29,52.72,,,,,61.74,38.26,0,0
8,2000,509.9625,505.0675,506.28,540.2025,,531.86,3.796,2.07,3.84,72.3625,23.6275,0.17,0,0,0,7.075,5.4625,,7.2775,5.6225,7.15,5.52,7.15,5.52,7.075,5.4625,4.8335,2.368,,,,,0.1175,0.08,,6.89,2.7625,0,1.9025,0.2425,0.175,0.0075,0.0075,38.005,49.81,,,,,59.91,40.09,0,0
9,2000,521.42,516.72,517.98,545.27,,517.22,3.942,2.066,3.8,74.54,21.5,0.16,0,0,0,7.3,5.63,,7.3,5.63,7.3,5.63,7.3,5.63,7.3,5.63,4.98,2.373,,,,,0.09,0.06,,6.33,2.49,0,2.03,0.21,0.15,0.01,0.01,41.72,46.9,,,,,58.08,41.92,0,0
10,2000,515.68,510.02,510.99,545.27,,510.4,4.056,2.057,2.28,74.88,22.74,0.1,0,0,0,7.2,5.56,,7.21,5.6,7.2,5.56,6.7,5.19,7.2,5.56,5.311,2.327,,,,,0.09,0.06,,6.09,2.59,0,1.66,0.2,0.15,0.01,0.01,42.56,46.58,,,,,57.03,42.97,0,0
11,2000,567,559.49,560.65,639.24,,559.96,4.042,2.424,1.43,69.79,28.74,0.04,0,0,0,7.2,5.56,,7.21,5.6,7.2,5.56,6.7,5.19,7.2,5.56,5.308,2.326,,,,,0.09,0.06,,6.65,2.76,0,1.99,0.21,0.15,0.01,0.01,40.79,47.28,,,,,56.47,43.53,0,0
