hour_of_day	charge_weight
0	0.594707648642
1	0.385553267971
2	0.244999981255
3	0.154738872077
4	0.112337900063
5	0.165689291365
6	0.411425829261
7	0.97822652326
8	1.53797988976
9	1.43328781495
10	1.07932026504
11	0.841738090096
12	0.854973983478
13	0.998618486312
14	1.06010343124
15	1.14832195155
16	1.34981791048
17	1.66861225579
18	1.88716328683
19	1.82178807186
20	1.68792362389
21	1.50092584074
22	1.20915515387
23	0.872590630216
