TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
210701301	2021	1.0	24	8.0
210702170	2021	1.0	24	216.0
210703121	2021	1.0	24	8.0
210704091	2021	1.0	24	8.0
210704100	2021	1.0	24	232.0
210705150	2021	1.0	24	240.0
210705301	2021	1.0	24	8.0
210706051	2021	1.0	24	8.0
210707191	2021	1.0	24	8.0
210708060	2021	1.0	24	240.0
210708301	2021	1.0	24	8.0
210709030	2021	1.0	24	232.0
210709071	2021	1.0	24	8.0
210710130	2021	1.0	24	240.0
210710221	2021	1.0	24	8.0
210711071	2021	1.0	24	8.0
210712041	2021	1.0	24	8.0
210712140	2021	1.0	24	240.0
210801220	2021	1.0	24	240.0
210802061	2021	1.0	24	8.0
210803300	2021	1.0	24	240.0
210806150	2021	1.0	24	232.0
210807020	2021	1.0	24	240.0
210811290	2021	1.0	24	232.0
290701280	2029	1.0	24	240.0
290701301	2029	1.0	24	8.0
290702200	2029	1.0	24	216.0
290703121	2029	1.0	24	8.0
290704091	2029	1.0	24	8.0
290704220	2029	1.0	24	232.0
290705230	2029	1.0	24	240.0
290705301	2029	1.0	24	8.0
290706051	2029	1.0	24	8.0
290707191	2029	1.0	24	8.0
290708301	2029	1.0	24	8.0
290709071	2029	1.0	24	8.0
290709120	2029	1.0	24	232.0
290710180	2029	1.0	24	240.0
290710221	2029	1.0	24	8.0
290711071	2029	1.0	24	8.0
290712041	2029	1.0	24	8.0
290712310	2029	1.0	24	240.0
290802061	2029	1.0	24	8.0
290803270	2029	1.0	24	240.0
290806170	2029	1.0	24	232.0
290807070	2029	1.0	24	240.0
290808240	2029	1.0	24	240.0
290811060	2029	1.0	24	232.0
370701080	2037	1.0	24	240.0
370701301	2037	1.0	24	8.0
370703121	2037	1.0	24	8.0
370704091	2037	1.0	24	8.0
370704160	2037	1.0	24	232.0
370705301	2037	1.0	24	8.0
370706051	2037	1.0	24	8.0
370706270	2037	1.0	24	232.0
370707191	2037	1.0	24	8.0
370708301	2037	1.0	24	8.0
370709071	2037	1.0	24	8.0
370709190	2037	1.0	24	232.0
370710221	2037	1.0	24	8.0
370710310	2037	1.0	24	240.0
370711071	2037	1.0	24	8.0
370712041	2037	1.0	24	8.0
370712160	2037	1.0	24	240.0
370802061	2037	1.0	24	8.0
370802170	2037	1.0	24	216.0
370803080	2037	1.0	24	240.0
370805100	2037	1.0	24	240.0
370807050	2037	1.0	24	240.0
370808150	2037	1.0	24	240.0
370811170	2037	1.0	24	232.0
450701301	2045	1.0	24	8.0
450702180	2045	1.0	24	216.0
450703121	2045	1.0	24	8.0
450704091	2045	1.0	24	8.0
450705301	2045	1.0	24	8.0
450706051	2045	1.0	24	8.0
450706230	2045	1.0	24	232.0
450707191	2045	1.0	24	8.0
450708120	2045	1.0	24	240.0
450708301	2045	1.0	24	8.0
450709071	2045	1.0	24	8.0
450709200	2045	1.0	24	232.0
450710120	2045	1.0	24	240.0
450710221	2045	1.0	24	8.0
450711071	2045	1.0	24	8.0
450712041	2045	1.0	24	8.0
450801200	2045	1.0	24	240.0
450802061	2045	1.0	24	8.0
450803280	2045	1.0	24	240.0
450804160	2045	1.0	24	232.0
450805010	2045	1.0	24	240.0
450807090	2045	1.0	24	240.0
450811210	2045	1.0	24	232.0
450812250	2045	1.0	24	240.0
