TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
1601	2016	1.0	24	730.5
1607	2016	1.0	24	730.5
2001	2020	1.0	24	730.5
2007	2020	1.0	24	730.5
