generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CCCT_Biodiesel	2016	3627000.0	63509.9983215
CCCT_Biodiesel	2020	3627000.0	63509.9983215
CCCT_LNG	2016	3393000.0	64040.0009155
CCCT_LNG	2020	3393000.0	64040.0009155
CentralPV	2016	1000000000.0	1000000000.0
CentralPV	2020	1000000000.0	1000000000.0
CentralTrackingPV	2016	3472000.0	34430.0003052
CentralTrackingPV	2020	3472000.0	34430.0003052
DistPV	2016	4000000.0	0.0
DistPV	2020	4000000.0	0.0
Reciprocating	2016	2702000.0	10140.0003433
Reciprocating	2020	2702000.0	10140.0003433
SCCT_Biodiesel	2016	3627000.0	22020.0004578
SCCT_Biodiesel	2020	3627000.0	22020.0004578
SCCT_LNG	2016	3393000.0	22010.0002289
SCCT_LNG	2020	3393000.0	22010.0002289
Wind	2016	3510000.0	79519.9966431
Wind	2020	3510000.0	79519.9966431
