PROJECT	proj_capacity_limit_mw
Oahu_CentralPV_116_na	8.00866683
Oahu_CentralPV_117_na	30.96552035
Oahu_CentralPV_118_na	9.773283737
Oahu_CentralPV_119_na	0.027
Oahu_CentralPV_120_na	7.157959359
Oahu_CentralPV_121_na	64.77483338
Oahu_CentralPV_122_na	44.65763559
Oahu_CentralPV_123_na	55.18927886
Oahu_CentralPV_124_na	18.24929149
Oahu_CentralPV_125_na	0.7382484
Oahu_CentralPV_126_na	0.90782145
Oahu_CentralPV_127_na	10.48968077
Oahu_CentralPV_128_na	0.288
Oahu_CentralPV_129_na	1.49725512
Oahu_CentralPV_130_na	4.036005708
Oahu_CentralPV_131_na	3.69
Oahu_CentralPV_132_na	1.77738894
Oahu_CentralPV_133_na	1.79998654
Oahu_CentralPV_134_na	7.291984037
Oahu_CentralPV_135_na	4.40542818
Oahu_CentralPV_136_na	81.89267781
Oahu_CentralPV_137_na	73.37438375
Oahu_CentralPV_138_na	74.94700627
Oahu_CentralPV_139_na	53.22221527
Oahu_CentralPV_140_na	0.000112569
Oahu_CentralPV_141_na	1.59392628
Oahu_CentralPV_142_na	0.96944688
Oahu_CentralPV_143_na	3.601611225
Oahu_CentralPV_144_na	3.6662103
Oahu_CentralPV_145_na	11.95765344
Oahu_CentralPV_146_na	1.885182435
Oahu_CentralPV_147_na	41.73899517
Oahu_CentralPV_148_na	57.42432083
Oahu_CentralPV_149_na	61.83877205
Oahu_CentralPV_150_na	65.26664696
Oahu_CentralPV_151_na	69.70563723
Oahu_CentralPV_152_na	37.02895431
Oahu_CentralPV_153_na	36.28939003
Oahu_CentralPV_154_na	4.327618095
Oahu_CentralPV_155_na	1.167302205
Oahu_CentralPV_156_na	2.468637831
Oahu_CentralPV_157_na	8.140174001
Oahu_CentralPV_158_na	4.331463238
Oahu_CentralPV_159_na	0.009
Oahu_CentralPV_160_na	0.99
Oahu_CentralPV_161_na	0.54913626
Oahu_CentralPV_162_na	0.351
Oahu_CentralPV_163_na	0.84470094
Oahu_CentralPV_164_na	0.78910686
Oahu_CentralPV_165_na	16.62157905
