PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw
Oahu_CentralPV_123_na	.	CentralPV	Oahu	31172337.46
Oahu_CentralPV_124_na	.	CentralPV	Oahu	31884703.35
Oahu_CentralPV_125_na	.	CentralPV	Oahu	21742789.79
Oahu_CentralPV_126_na	.	CentralPV	Oahu	21244491.42
Oahu_CentralPV_127_na	.	CentralPV	Oahu	21061824.84
Oahu_CentralPV_128_na	.	CentralPV	Oahu	20923994.88
Oahu_CentralPV_129_na	.	CentralPV	Oahu	20831119.17
Oahu_CentralPV_12_na	.	CentralPV	Oahu	32792978.77
Oahu_CentralPV_130_na	.	CentralPV	Oahu	20785629.96
Oahu_CentralPV_131_na	.	CentralPV	Oahu	20787551.66
Oahu_CentralPV_132_na	.	CentralPV	Oahu	20836104.88
Oahu_CentralPV_133_na	.	CentralPV	Oahu	20932292.05
Oahu_CentralPV_134_na	.	CentralPV	Oahu	21073342.93
Oahu_CentralPV_135_na	.	CentralPV	Oahu	28387816.24
Oahu_CentralPV_136_na	.	CentralPV	Oahu	29067938.86
Oahu_CentralPV_137_na	.	CentralPV	Oahu	29765134.33
Oahu_CentralPV_138_na	.	CentralPV	Oahu	30486329.58
Oahu_CentralPV_139_na	.	CentralPV	Oahu	31214398.29
Oahu_CentralPV_13_na	.	CentralPV	Oahu	33148604.37
Oahu_CentralPV_140_na	.	CentralPV	Oahu	31956255.14
Oahu_CentralPV_141_na	.	CentralPV	Oahu	20793189.65
Oahu_CentralPV_142_na	.	CentralPV	Oahu	20271682.05
Oahu_CentralPV_143_na	.	CentralPV	Oahu	20080228.15
Oahu_CentralPV_144_na	.	CentralPV	Oahu	19790524.37
Oahu_CentralPV_145_na	.	CentralPV	Oahu	19792604.35
Oahu_CentralPV_146_na	.	CentralPV	Oahu	26981401.94
Oahu_CentralPV_147_na	.	CentralPV	Oahu	27668404.74
Oahu_CentralPV_148_na	.	CentralPV	Oahu	28365826.77
Oahu_CentralPV_149_na	.	CentralPV	Oahu	29079904.31
Oahu_CentralPV_14_na	.	CentralPV	Oahu	33939245.97
Oahu_CentralPV_150_na	.	CentralPV	Oahu	29817721.11
Oahu_CentralPV_151_na	.	CentralPV	Oahu	30561764.13
Oahu_CentralPV_152_na	.	CentralPV	Oahu	31319124.81
Oahu_CentralPV_153_na	.	CentralPV	Oahu	32097575.93
Oahu_CentralPV_154_na	.	CentralPV	Oahu	32878941.56
Oahu_CentralPV_155_na	.	CentralPV	Oahu	19848088.03
Oahu_CentralPV_156_na	.	CentralPV	Oahu	19552991.11
Oahu_CentralPV_157_na	.	CentralPV	Oahu	19301180.38
Oahu_CentralPV_158_na	.	CentralPV	Oahu	19100061.07
Oahu_CentralPV_159_na	.	CentralPV	Oahu	18845607.35
Oahu_CentralPV_15_na	.	CentralPV	Oahu	37974571.5
Oahu_CentralPV_160_na	.	CentralPV	Oahu	18795441.15
Oahu_CentralPV_161_na	.	CentralPV	Oahu	18797692.98
Oahu_CentralPV_162_na	.	CentralPV	Oahu	21491442.15
Oahu_CentralPV_163_na	.	CentralPV	Oahu	24924500.65
Oahu_CentralPV_164_na	.	CentralPV	Oahu	25582558.14
Oahu_CentralPV_165_na	.	CentralPV	Oahu	26261093.19
Oahu_CentralPV_166_na	.	CentralPV	Oahu	26966498.42
Oahu_CentralPV_167_na	.	CentralPV	Oahu	27681654.09
Oahu_CentralPV_168_na	.	CentralPV	Oahu	28412974.39
Oahu_CentralPV_169_na	.	CentralPV	Oahu	29167708.84
Oahu_CentralPV_16_na	.	CentralPV	Oahu	38561096.66
Oahu_CentralPV_170_na	.	CentralPV	Oahu	29927957.14
Oahu_CentralPV_171_na	.	CentralPV	Oahu	30700997.07
Oahu_CentralPV_172_na	.	CentralPV	Oahu	31494769.5
Oahu_CentralPV_173_na	.	CentralPV	Oahu	32290763.15
Oahu_CentralPV_174_na	.	CentralPV	Oahu	18908159.81
Oahu_CentralPV_176_na	.	CentralPV	Oahu	18333353.24
Oahu_CentralPV_177_na	.	CentralPV	Oahu	18121555.94
Oahu_CentralPV_178_na	.	CentralPV	Oahu	17802823.96
Oahu_CentralPV_179_na	.	CentralPV	Oahu	17859688.76
Oahu_CentralPV_17_na	.	CentralPV	Oahu	31207675.19
Oahu_CentralPV_180_na	.	CentralPV	Oahu	17972009.93
Oahu_CentralPV_181_na	.	CentralPV	Oahu	18354771.15
Oahu_CentralPV_182_na	.	CentralPV	Oahu	20627452.01
Oahu_CentralPV_183_na	.	CentralPV	Oahu	21148783.98
Oahu_CentralPV_184_na	.	CentralPV	Oahu	21697014.05
Oahu_CentralPV_185_na	.	CentralPV	Oahu	24183757.89
Oahu_CentralPV_186_na	.	CentralPV	Oahu	24861475.97
Oahu_CentralPV_187_na	.	CentralPV	Oahu	25559206.17
Oahu_CentralPV_188_na	.	CentralPV	Oahu	26283499.98
Oahu_CentralPV_189_na	.	CentralPV	Oahu	27016783.98
Oahu_CentralPV_18_na	.	CentralPV	Oahu	31519346.86
Oahu_CentralPV_190_na	.	CentralPV	Oahu	27765663.54
Oahu_CentralPV_191_na	.	CentralPV	Oahu	28537563.72
Oahu_CentralPV_192_na	.	CentralPV	Oahu	29314198.74
Oahu_CentralPV_193_na	.	CentralPV	Oahu	30103042.73
Oahu_CentralPV_194_na	.	CentralPV	Oahu	30912211.65
Oahu_CentralPV_195_na	.	CentralPV	Oahu	31722863.19
Oahu_CentralPV_196_na	.	CentralPV	Oahu	32543148.53
Oahu_CentralPV_197_na	.	CentralPV	Oahu	17647933.53
Oahu_CentralPV_198_na	.	CentralPV	Oahu	17368648.11
Oahu_CentralPV_199_na	.	CentralPV	Oahu	17144997.69
Oahu_CentralPV_19_na	.	CentralPV	Oahu	31862408.08
Oahu_CentralPV_1_na	.	CentralPV	Oahu	34664844.98
Oahu_CentralPV_200_na	.	CentralPV	Oahu	16975659.69
Oahu_CentralPV_201_na	.	CentralPV	Oahu	16861319.32
Oahu_CentralPV_202_na	.	CentralPV	Oahu	16808005.17
Oahu_CentralPV_203_na	.	CentralPV	Oahu	16868285.82
Oahu_CentralPV_204_na	.	CentralPV	Oahu	16987225.82
Oahu_CentralPV_205_na	.	CentralPV	Oahu	17160998.9
Oahu_CentralPV_206_na	.	CentralPV	Oahu	17391795.44
Oahu_CentralPV_207_na	.	CentralPV	Oahu	17672369.07
Oahu_CentralPV_208_na	.	CentralPV	Oahu	18002550.7
Oahu_CentralPV_209_na	.	CentralPV	Oahu	18384160.37
Oahu_CentralPV_20_na	.	CentralPV	Oahu	32228361.24
Oahu_CentralPV_210_na	.	CentralPV	Oahu	18805866.91
Oahu_CentralPV_211_na	.	CentralPV	Oahu	19274182.33
Oahu_CentralPV_212_na	.	CentralPV	Oahu	19775780.18
Oahu_CentralPV_213_na	.	CentralPV	Oahu	20319028.87
Oahu_CentralPV_214_na	.	CentralPV	Oahu	20889098.5
Oahu_CentralPV_215_na	.	CentralPV	Oahu	22777540.94
Oahu_CentralPV_216_na	.	CentralPV	Oahu	23461816.87
Oahu_CentralPV_217_na	.	CentralPV	Oahu	24159839.94
Oahu_CentralPV_218_na	.	CentralPV	Oahu	24877300.45
Oahu_CentralPV_219_na	.	CentralPV	Oahu	25620921.87
Oahu_CentralPV_21_na	.	CentralPV	Oahu	36585770.42
Oahu_CentralPV_220_na	.	CentralPV	Oahu	26372676.62
Oahu_CentralPV_221_na	.	CentralPV	Oahu	27139375.87
Oahu_CentralPV_222_na	.	CentralPV	Oahu	27928630.8
Oahu_CentralPV_223_na	.	CentralPV	Oahu	28721774.48
Oahu_CentralPV_224_na	.	CentralPV	Oahu	29526487.66
Oahu_CentralPV_225_na	.	CentralPV	Oahu	30351068.55
Oahu_CentralPV_226_na	.	CentralPV	Oahu	31176350.07
Oahu_CentralPV_227_na	.	CentralPV	Oahu	32010677.88
Oahu_CentralPV_228_na	.	CentralPV	Oahu	32862876.26
Oahu_CentralPV_229_na	.	CentralPV	Oahu	16702919.8
Oahu_CentralPV_22_na	.	CentralPV	Oahu	37174492.39
Oahu_CentralPV_230_na	.	CentralPV	Oahu	16407616.09
Oahu_CentralPV_231_na	.	CentralPV	Oahu	16170739.45
Oahu_CentralPV_232_na	.	CentralPV	Oahu	15991148.69
Oahu_CentralPV_233_na	.	CentralPV	Oahu	15869778.72
Oahu_CentralPV_234_na	.	CentralPV	Oahu	15810372.14
Oahu_CentralPV_235_na	.	CentralPV	Oahu	15813246.52
Oahu_CentralPV_236_na	.	CentralPV	Oahu	15877366.34
Oahu_CentralPV_237_na	.	CentralPV	Oahu	16003734.91
Oahu_CentralPV_238_na	.	CentralPV	Oahu	16188129.95
Oahu_CentralPV_239_na	.	CentralPV	Oahu	16432657.2
Oahu_CentralPV_23_na	.	CentralPV	Oahu	37773492.6
Oahu_CentralPV_240_na	.	CentralPV	Oahu	16729384.07
Oahu_CentralPV_241_na	.	CentralPV	Oahu	17077865.46
Oahu_CentralPV_242_na	.	CentralPV	Oahu	17479732.03
Oahu_CentralPV_243_na	.	CentralPV	Oahu	17922787.59
Oahu_CentralPV_244_na	.	CentralPV	Oahu	18413631.42
Oahu_CentralPV_245_na	.	CentralPV	Oahu	18938089.01
Oahu_CentralPV_246_na	.	CentralPV	Oahu	19504735.63
Oahu_CentralPV_247_na	.	CentralPV	Oahu	20097966.07
Oahu_CentralPV_248_na	.	CentralPV	Oahu	22054394.36
Oahu_CentralPV_249_na	.	CentralPV	Oahu	22760467.08
Oahu_CentralPV_24_na	.	CentralPV	Oahu	29955462.64
Oahu_CentralPV_250_na	.	CentralPV	Oahu	23479393.74
Oahu_CentralPV_251_na	.	CentralPV	Oahu	24217064.25
Oahu_CentralPV_252_na	.	CentralPV	Oahu	24980389.27
Oahu_CentralPV_253_na	.	CentralPV	Oahu	25750890.33
Oahu_CentralPV_254_na	.	CentralPV	Oahu	26535600.2
Oahu_CentralPV_255_na	.	CentralPV	Oahu	27342327.59
Oahu_CentralPV_256_na	.	CentralPV	Oahu	28152031.44
Oahu_CentralPV_257_na	.	CentralPV	Oahu	28972609.65
Oahu_CentralPV_258_na	.	CentralPV	Oahu	29812549.69
Oahu_CentralPV_259_na	.	CentralPV	Oahu	30652367.98
Oahu_CentralPV_25_na	.	CentralPV	Oahu	30251105.33
Oahu_CentralPV_260_na	.	CentralPV	Oahu	31500610.54
Oahu_CentralPV_261_na	.	CentralPV	Oahu	32366274.71
Oahu_CentralPV_262_na	.	CentralPV	Oahu	33229518.29
Oahu_CentralPV_263_na	.	CentralPV	Oahu	34099374.02
Oahu_CentralPV_264_na	.	CentralPV	Oahu	34975348.67
Oahu_CentralPV_265_na	.	CentralPV	Oahu	15764119.66
Oahu_CentralPV_266_na	.	CentralPV	Oahu	15450943.02
Oahu_CentralPV_267_na	.	CentralPV	Oahu	15199223.97
Oahu_CentralPV_268_na	.	CentralPV	Oahu	14878748.24
Oahu_CentralPV_269_na	.	CentralPV	Oahu	14815431.05
Oahu_CentralPV_26_na	.	CentralPV	Oahu	30926213.78
Oahu_CentralPV_270_na	.	CentralPV	Oahu	14818560.58
Oahu_CentralPV_271_na	.	CentralPV	Oahu	14887027.29
Oahu_CentralPV_272_na	.	CentralPV	Oahu	15021791.66
Oahu_CentralPV_273_na	.	CentralPV	Oahu	15218150.45
Oahu_CentralPV_274_na	.	CentralPV	Oahu	15478070.27
Oahu_CentralPV_275_na	.	CentralPV	Oahu	15792802.07
Oahu_CentralPV_276_na	.	CentralPV	Oahu	16161549.1
Oahu_CentralPV_277_na	.	CentralPV	Oahu	16585690.02
Oahu_CentralPV_278_na	.	CentralPV	Oahu	17052046.26
Oahu_CentralPV_279_na	.	CentralPV	Oahu	17567290.65
Oahu_CentralPV_27_na	.	CentralPV	Oahu	31303171.4
Oahu_CentralPV_280_na	.	CentralPV	Oahu	18116318.34
Oahu_CentralPV_281_na	.	CentralPV	Oahu	18707923.72
Oahu_CentralPV_282_na	.	CentralPV	Oahu	19325678.38
Oahu_CentralPV_283_na	.	CentralPV	Oahu	20654657.96
Oahu_CentralPV_284_na	.	CentralPV	Oahu	21353118.98
Oahu_CentralPV_285_na	.	CentralPV	Oahu	22081670.93
Oahu_CentralPV_286_na	.	CentralPV	Oahu	22822033.07
Oahu_CentralPV_287_na	.	CentralPV	Oahu	23580318.14
Oahu_CentralPV_288_na	.	CentralPV	Oahu	24363641.3
Oahu_CentralPV_289_na	.	CentralPV	Oahu	25153080.76
Oahu_CentralPV_28_na	.	CentralPV	Oahu	31706268.81
Oahu_CentralPV_290_na	.	CentralPV	Oahu	25955907.85
Oahu_CentralPV_291_na	.	CentralPV	Oahu	26780140.68
Oahu_CentralPV_292_na	.	CentralPV	Oahu	27606374.22
Oahu_CentralPV_293_na	.	CentralPV	Oahu	28442733.77
Oahu_CentralPV_294_na	.	CentralPV	Oahu	29297902.87
Oahu_CentralPV_295_na	.	CentralPV	Oahu	30152091.78
Oahu_CentralPV_296_na	.	CentralPV	Oahu	31014052.1
Oahu_CentralPV_297_na	.	CentralPV	Oahu	31892957.17
Oahu_CentralPV_298_na	.	CentralPV	Oahu	32768702.48
Oahu_CentralPV_299_na	.	CentralPV	Oahu	33650502.07
Oahu_CentralPV_29_na	.	CentralPV	Oahu	35773912.68
Oahu_CentralPV_2_na	.	CentralPV	Oahu	35001346.04
Oahu_CentralPV_300_na	.	CentralPV	Oahu	34537892.29
Oahu_CentralPV_301_na	.	CentralPV	Oahu	35440509.84
Oahu_CentralPV_302_na	.	CentralPV	Oahu	14499492.19
Oahu_CentralPV_303_na	.	CentralPV	Oahu	14231013.45
Oahu_CentralPV_304_na	.	CentralPV	Oahu	14026735.11
Oahu_CentralPV_305_na	.	CentralPV	Oahu	13888337.58
Oahu_CentralPV_306_na	.	CentralPV	Oahu	13820546.48
Oahu_CentralPV_307_na	.	CentralPV	Oahu	13823963.54
Oahu_CentralPV_308_na	.	CentralPV	Oahu	13897393.26
Oahu_CentralPV_309_na	.	CentralPV	Oahu	14041721.23
Oahu_CentralPV_30_na	.	CentralPV	Oahu	36375827.59
Oahu_CentralPV_310_na	.	CentralPV	Oahu	14251650.87
Oahu_CentralPV_311_na	.	CentralPV	Oahu	14528932.24
Oahu_CentralPV_312_na	.	CentralPV	Oahu	14863833.95
Oahu_CentralPV_313_na	.	CentralPV	Oahu	15255110.17
Oahu_CentralPV_314_na	.	CentralPV	Oahu	15703808.78
Oahu_CentralPV_315_na	.	CentralPV	Oahu	16195633.49
Oahu_CentralPV_316_na	.	CentralPV	Oahu	16737316.22
Oahu_CentralPV_317_na	.	CentralPV	Oahu	17312735.78
Oahu_CentralPV_318_na	.	CentralPV	Oahu	17930924.17
Oahu_CentralPV_319_na	.	CentralPV	Oahu	19247172.99
Oahu_CentralPV_31_na	.	CentralPV	Oahu	36987813.83
Oahu_CentralPV_320_na	.	CentralPV	Oahu	19953744.63
Oahu_CentralPV_321_na	.	CentralPV	Oahu	20675940.68
Oahu_CentralPV_322_na	.	CentralPV	Oahu	21427572.26
Oahu_CentralPV_323_na	.	CentralPV	Oahu	22189810.04
Oahu_CentralPV_324_na	.	CentralPV	Oahu	22969016.06
Oahu_CentralPV_325_na	.	CentralPV	Oahu	23772529.48
Oahu_CentralPV_326_na	.	CentralPV	Oahu	24580997.6
Oahu_CentralPV_327_na	.	CentralPV	Oahu	25401947.94
Oahu_CentralPV_328_na	.	CentralPV	Oahu	26243620.24
Oahu_CentralPV_329_na	.	CentralPV	Oahu	27086258.73
Oahu_CentralPV_32_na	.	CentralPV	Oahu	28499117.1
Oahu_CentralPV_330_na	.	CentralPV	Oahu	27938225.98
Oahu_CentralPV_331_na	.	CentralPV	Oahu	28808407.74
Oahu_CentralPV_332_na	.	CentralPV	Oahu	29676720.59
Oahu_CentralPV_333_na	.	CentralPV	Oahu	30552125.98
Oahu_CentralPV_334_na	.	CentralPV	Oahu	31443975.34
Oahu_CentralPV_335_na	.	CentralPV	Oahu	32331913.17
Oahu_CentralPV_336_na	.	CentralPV	Oahu	33225335.51
Oahu_CentralPV_337_na	.	CentralPV	Oahu	34123811.68
Oahu_CentralPV_338_na	.	CentralPV	Oahu	35037125.64
Oahu_CentralPV_339_na	.	CentralPV	Oahu	35944626.77
Oahu_CentralPV_33_na	.	CentralPV	Oahu	29012207.91
Oahu_CentralPV_340_na	.	CentralPV	Oahu	13544556.77
Oahu_CentralPV_341_na	.	CentralPV	Oahu	13256812.77
Oahu_CentralPV_342_na	.	CentralPV	Oahu	13037340.26
Oahu_CentralPV_343_na	.	CentralPV	Oahu	12888385.85
Oahu_CentralPV_344_na	.	CentralPV	Oahu	12815369.89
Oahu_CentralPV_345_na	.	CentralPV	Oahu	12819118.03
Oahu_CentralPV_346_na	.	CentralPV	Oahu	12898332.56
Oahu_CentralPV_347_na	.	CentralPV	Oahu	13053774.42
Oahu_CentralPV_348_na	.	CentralPV	Oahu	13279393.01
Oahu_CentralPV_349_na	.	CentralPV	Oahu	13576606.99
Oahu_CentralPV_34_na	.	CentralPV	Oahu	29317422.97
Oahu_CentralPV_350_na	.	CentralPV	Oahu	13934474.9
Oahu_CentralPV_351_na	.	CentralPV	Oahu	14351169.6
Oahu_CentralPV_352_na	.	CentralPV	Oahu	14827304.83
Oahu_CentralPV_353_na	.	CentralPV	Oahu	15347298.29
Oahu_CentralPV_354_na	.	CentralPV	Oahu	15917928.93
Oahu_CentralPV_355_na	.	CentralPV	Oahu	16521961.16
Oahu_CentralPV_356_na	.	CentralPV	Oahu	18539231.91
Oahu_CentralPV_357_na	.	CentralPV	Oahu	19271821.15
Oahu_CentralPV_358_na	.	CentralPV	Oahu	20018676.01
Oahu_CentralPV_359_na	.	CentralPV	Oahu	20794120.43
Oahu_CentralPV_35_na	.	CentralPV	Oahu	29649090.26
Oahu_CentralPV_360_na	.	CentralPV	Oahu	21578785.24
Oahu_CentralPV_361_na	.	CentralPV	Oahu	22379314.52
Oahu_CentralPV_362_na	.	CentralPV	Oahu	23203295.43
Oahu_CentralPV_363_na	.	CentralPV	Oahu	24030957.77
Oahu_CentralPV_364_na	.	CentralPV	Oahu	24870106.16
Oahu_CentralPV_365_na	.	CentralPV	Oahu	25729216.52
Oahu_CentralPV_366_na	.	CentralPV	Oahu	26588195.42
Oahu_CentralPV_367_na	.	CentralPV	Oahu	27455654.13
Oahu_CentralPV_368_na	.	CentralPV	Oahu	28340688.13
Oahu_CentralPV_369_na	.	CentralPV	Oahu	29222931.96
Oahu_CentralPV_36_na	.	CentralPV	Oahu	30401986.16
Oahu_CentralPV_370_na	.	CentralPV	Oahu	30111562.14
Oahu_CentralPV_371_na	.	CentralPV	Oahu	31016111.13
Oahu_CentralPV_372_na	.	CentralPV	Oahu	31915982.67
Oahu_CentralPV_373_na	.	CentralPV	Oahu	32820756.27
Oahu_CentralPV_374_na	.	CentralPV	Oahu	33730037.55
Oahu_CentralPV_375_na	.	CentralPV	Oahu	34653757.31
Oahu_CentralPV_376_na	.	CentralPV	Oahu	35571065.69
Oahu_CentralPV_377_na	.	CentralPV	Oahu	36491914.85
Oahu_CentralPV_378_na	.	CentralPV	Oahu	12297665.79
Oahu_CentralPV_379_na	.	CentralPV	Oahu	12060812.8
Oahu_CentralPV_37_na	.	CentralPV	Oahu	33825192.51
Oahu_CentralPV_380_na	.	CentralPV	Oahu	11899703.41
Oahu_CentralPV_381_na	.	CentralPV	Oahu	11820645.07
Oahu_CentralPV_382_na	.	CentralPV	Oahu	11824771.17
Oahu_CentralPV_383_na	.	CentralPV	Oahu	11910663.12
Oahu_CentralPV_384_na	.	CentralPV	Oahu	12642218.85
Oahu_CentralPV_385_na	.	CentralPV	Oahu	13025841.23
Oahu_CentralPV_386_na	.	CentralPV	Oahu	13470728.71
Oahu_CentralPV_387_na	.	CentralPV	Oahu	13976944.16
Oahu_CentralPV_388_na	.	CentralPV	Oahu	14527459.83
Oahu_CentralPV_389_na	.	CentralPV	Oahu	15129095.58
Oahu_CentralPV_38_na	.	CentralPV	Oahu	34988516.13
Oahu_CentralPV_390_na	.	CentralPV	Oahu	15763432.61
Oahu_CentralPV_391_na	.	CentralPV	Oahu	16440081.66
Oahu_CentralPV_392_na	.	CentralPV	Oahu	17139916.51
Oahu_CentralPV_393_na	.	CentralPV	Oahu	18625786.67
Oahu_CentralPV_394_na	.	CentralPV	Oahu	19397571.76
Oahu_CentralPV_395_na	.	CentralPV	Oahu	20196916.37
Oahu_CentralPV_396_na	.	CentralPV	Oahu	21003940.87
Oahu_CentralPV_397_na	.	CentralPV	Oahu	21825600.95
Oahu_CentralPV_398_na	.	CentralPV	Oahu	22669752.08
Oahu_CentralPV_399_na	.	CentralPV	Oahu	23516233.99
Oahu_CentralPV_39_na	.	CentralPV	Oahu	35603760.84
Oahu_CentralPV_3_na	.	CentralPV	Oahu	35362099.09
Oahu_CentralPV_400_na	.	CentralPV	Oahu	24373143.11
Oahu_CentralPV_401_na	.	CentralPV	Oahu	25249200.49
Oahu_CentralPV_402_na	.	CentralPV	Oahu	26123998.24
Oahu_CentralPV_403_na	.	CentralPV	Oahu	27006401.14
Oahu_CentralPV_404_na	.	CentralPV	Oahu	27905716.21
Oahu_CentralPV_405_na	.	CentralPV	Oahu	28801315.38
Oahu_CentralPV_406_na	.	CentralPV	Oahu	29702589.4
Oahu_CentralPV_407_na	.	CentralPV	Oahu	31530475.42
Oahu_CentralPV_408_na	.	CentralPV	Oahu	32446026.19
Oahu_CentralPV_409_na	.	CentralPV	Oahu	33365545.93
Oahu_CentralPV_40_na	.	CentralPV	Oahu	36228839.51
Oahu_CentralPV_410_na	.	CentralPV	Oahu	34299107.71
Oahu_CentralPV_411_na	.	CentralPV	Oahu	35225676.25
Oahu_CentralPV_412_na	.	CentralPV	Oahu	36155346.32
Oahu_CentralPV_413_na	.	CentralPV	Oahu	37087884.76
Oahu_CentralPV_414_na	.	CentralPV	Oahu	12090603.04
Oahu_CentralPV_415_na	.	CentralPV	Oahu	11679597.49
Oahu_CentralPV_416_na	.	CentralPV	Oahu	11087643.2
Oahu_CentralPV_417_na	.	CentralPV	Oahu	10912237.8
Oahu_CentralPV_418_na	.	CentralPV	Oahu	10826034.08
Oahu_CentralPV_419_na	.	CentralPV	Oahu	11107606.86
Oahu_CentralPV_41_na	.	CentralPV	Oahu	26979417.14
Oahu_CentralPV_420_na	.	CentralPV	Oahu	11372029.65
Oahu_CentralPV_421_na	.	CentralPV	Oahu	11717847.76
Oahu_CentralPV_422_na	.	CentralPV	Oahu	12130794.99
Oahu_CentralPV_423_na	.	CentralPV	Oahu	12607361.88
Oahu_CentralPV_424_na	.	CentralPV	Oahu	13146916.94
Oahu_CentralPV_425_na	.	CentralPV	Oahu	14365890.91
Oahu_CentralPV_426_na	.	CentralPV	Oahu	15032515.16
Oahu_CentralPV_427_na	.	CentralPV	Oahu	15740661.56
Oahu_CentralPV_428_na	.	CentralPV	Oahu	16470285.55
Oahu_CentralPV_429_na	.	CentralPV	Oahu	18011562.47
Oahu_CentralPV_42_na	.	CentralPV	Oahu	27126313.73
Oahu_CentralPV_430_na	.	CentralPV	Oahu	18808606.71
Oahu_CentralPV_431_na	.	CentralPV	Oahu	19631983.89
Oahu_CentralPV_432_na	.	CentralPV	Oahu	20461337.84
Oahu_CentralPV_433_na	.	CentralPV	Oahu	21303969.82
Oahu_CentralPV_434_na	.	CentralPV	Oahu	22168026.82
Oahu_CentralPV_435_na	.	CentralPV	Oahu	23032986.89
Oahu_CentralPV_436_na	.	CentralPV	Oahu	23907254.21
Oahu_CentralPV_437_na	.	CentralPV	Oahu	24799804.86
Oahu_CentralPV_438_na	.	CentralPV	Oahu	26586780.08
Oahu_CentralPV_439_na	.	CentralPV	Oahu	27499848.79
Oahu_CentralPV_43_na	.	CentralPV	Oahu	27306565.16
Oahu_CentralPV_440_na	.	CentralPV	Oahu	28408272.66
Oahu_CentralPV_441_na	.	CentralPV	Oahu	33026980.63
Oahu_CentralPV_442_na	.	CentralPV	Oahu	33969870.99
Oahu_CentralPV_443_na	.	CentralPV	Oahu	34905202.37
Oahu_CentralPV_444_na	.	CentralPV	Oahu	35843207.13
Oahu_CentralPV_445_na	.	CentralPV	Oahu	36783680.83
Oahu_CentralPV_446_na	.	CentralPV	Oahu	37737044.04
Oahu_CentralPV_447_na	.	CentralPV	Oahu	11208626.56
Oahu_CentralPV_448_na	.	CentralPV	Oahu	10764053.78
Oahu_CentralPV_449_na	.	CentralPV	Oahu	10429998.64
Oahu_CentralPV_44_na	.	CentralPV	Oahu	27520922.49
Oahu_CentralPV_450_na	.	CentralPV	Oahu	10806065.29
Oahu_CentralPV_451_na	.	CentralPV	Oahu	11252579.59
Oahu_CentralPV_452_na	.	CentralPV	Oahu	11764829.29
Oahu_CentralPV_453_na	.	CentralPV	Oahu	12341327.07
Oahu_CentralPV_454_na	.	CentralPV	Oahu	14333433.9
Oahu_CentralPV_455_na	.	CentralPV	Oahu	15074500.26
Oahu_CentralPV_456_na	.	CentralPV	Oahu	15834890.1
Oahu_CentralPV_457_na	.	CentralPV	Oahu	17432511.74
Oahu_CentralPV_458_na	.	CentralPV	Oahu	18254892.29
Oahu_CentralPV_459_na	.	CentralPV	Oahu	19102186.81
Oahu_CentralPV_45_na	.	CentralPV	Oahu	27771564.84
Oahu_CentralPV_460_na	.	CentralPV	Oahu	19953606.93
Oahu_CentralPV_461_na	.	CentralPV	Oahu	20816833.39
Oahu_CentralPV_462_na	.	CentralPV	Oahu	21700327.08
Oahu_CentralPV_463_na	.	CentralPV	Oahu	22583237.52
Oahu_CentralPV_464_na	.	CentralPV	Oahu	23474290.0
Oahu_CentralPV_465_na	.	CentralPV	Oahu	24382723.07
