PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw
Oahu_AES_GEN1	.	AES_Coal_180_MW_ST	Oahu	0.0
Oahu_CCCT_Biodiesel	.	CCCT_Biodiesel	Oahu	0.0
Oahu_CCCT_LNG	.	CCCT_LNG	Oahu	0.0
Oahu_CIP_CIP1	.	CIP_Biodiesel_113_MW_GT	Oahu	0.0
Oahu_CentralPV_100_na	.	CentralPV	Oahu	22775895.45
Oahu_CentralPV_101_na	.	CentralPV	Oahu	22777534.19
Oahu_CentralPV_102_na	.	CentralPV	Oahu	22821739.07
Oahu_CentralPV_103_na	.	CentralPV	Oahu	22909474.81
Oahu_CentralPV_104_na	.	CentralPV	Oahu	23210424.0
Oahu_CentralPV_105_na	.	CentralPV	Oahu	23421089.08
Oahu_CentralPV_106_na	.	CentralPV	Oahu	29239070.89
Oahu_CentralPV_107_na	.	CentralPV	Oahu	29874064.97
Oahu_CentralPV_108_na	.	CentralPV	Oahu	30520997.03
Oahu_CentralPV_109_na	.	CentralPV	Oahu	31185636.82
Oahu_CentralPV_10_na	.	CentralPV	Oahu	32157313.83
Oahu_CentralPV_110_na	.	CentralPV	Oahu	31874621.16
Oahu_CentralPV_111_na	.	CentralPV	Oahu	32571588.15
Oahu_CentralPV_112_na	.	CentralPV	Oahu	22044659.88
Oahu_CentralPV_113_na	.	CentralPV	Oahu	21912954.64
Oahu_CentralPV_114_na	.	CentralPV	Oahu	21780754.58
Oahu_CentralPV_115_na	.	CentralPV	Oahu	21782529.71
Oahu_CentralPV_116_na	.	CentralPV	Oahu	21828811.16
Oahu_CentralPV_117_na	.	CentralPV	Oahu	21920583.48
Oahu_CentralPV_118_na	.	CentralPV	Oahu	22055256.41
Oahu_CentralPV_119_na	.	CentralPV	Oahu	28471655.88
Oahu_CentralPV_11_na	.	CentralPV	Oahu	32459811.68
Oahu_CentralPV_120_na	.	CentralPV	Oahu	29123435.48
Oahu_CentralPV_121_na	.	CentralPV	Oahu	29786721.6
Oahu_CentralPV_122_na	.	CentralPV	Oahu	30467429.53
