LOAD_ZONE	TIMEPOINT	demand_mw
Oahu	1501238220.0	720.120687286391
Oahu	1501228220.0	818.09776688789
Oahu	1501218220.0	928.659995508058
Oahu	1501208220.0	1023.60771456997
Oahu	1501198220.0	1088.7088735966
Oahu	1501188220.0	1142.11953274474
Oahu	1501178220.0	1078.32972745816
Oahu	1501168220.0	1058.84202434092
Oahu	1501158220.0	1068.3672859196
Oahu	1501148220.0	1070.70544794184
Oahu	1501138220.0	1073.85679198997
Oahu	1501128220.0	1076.66253677942
Oahu	1501118220.0	1068.99755472922
Oahu	1501108220.0	1067.42182065861
Oahu	1501098220.0	1046.99895200695
Oahu	1501088220.0	1020.12082280354
Oahu	1501078220.0	968.407881234543
Oahu	1501068220.0	946.073854887066
Oahu	1501058220.0	824.034566505081
Oahu	1501048220.0	692.988415432437
Oahu	1501038220.0	631.679044897032
Oahu	1501028220.0	623.119537799738
Oahu	1501018220.0	639.374491801094
Oahu	1501008220.0	670.817013080829
Oahu	1503238300.0	739.089929469071
Oahu	1503228300.0	829.381737799977
Oahu	1503218300.0	938.08362484513
Oahu	1503208300.0	1013.48264903553
Oahu	1503198300.0	1071.5593325016
Oahu	1503188300.0	1077.22157615476
Oahu	1503178300.0	1023.77033856583
Oahu	1503168300.0	1011.27670820184
Oahu	1503158300.0	993.181701845862
Oahu	1503148300.0	987.305956029485
Oahu	1503138300.0	988.017567860318
Oahu	1503128300.0	992.459976428106
Oahu	1503118300.0	987.478755658822
Oahu	1503108300.0	981.745282571376
Oahu	1503098300.0	955.91425087055
Oahu	1503088300.0	905.248344757591
Oahu	1503078300.0	824.461508784963
Oahu	1503068300.0	738.998410814395
Oahu	1503058300.0	689.481234445619
Oahu	1503048300.0	656.767999913163
Oahu	1503038300.0	642.180236590548
Oahu	1503028300.0	646.998771317418
Oahu	1503018300.0	666.679563284385
Oahu	1503008300.0	706.203833260732
Oahu	1504237100.0	740.0
Oahu	1504227100.0	841.960021972656
Oahu	1504217100.0	960.510009765625
Oahu	1504207100.0	1054.9599609375
Oahu	1504197100.0	1114.2900390625
Oahu	1504187100.0	1139.36999511719
Oahu	1504177100.0	1103.31005859375
Oahu	1504167100.0	1097.68994140625
Oahu	1504157100.0	1110.61999511719
Oahu	1504147100.0	1125.47998046875
Oahu	1504137100.0	1131.81994628906
Oahu	1504127100.0	1134.59997558594
Oahu	1504117100.0	1121.53002929688
Oahu	1504107100.0	1116.53002929688
Oahu	1504097100.0	1091.4599609375
Oahu	1504087100.0	1057.0400390625
Oahu	1504077100.0	997.919982910156
Oahu	1504067100.0	956.039978027344
Oahu	1504057100.0	845.539978027344
Oahu	1504047100.0	713.840026855469
Oahu	1504037100.0	655.630004882812
Oahu	1504027100.0	648.210021972656
Oahu	1504017100.0	662.450012207031
Oahu	1504007100.0	695.489990234375
Oahu	1505237150.0	739.159973144531
Oahu	1505227150.0	843.450012207031
Oahu	1505217150.0	964.52001953125
Oahu	1505207150.0	1055.7099609375
Oahu	1505197150.0	1119.14001464844
Oahu	1505187150.0	1099.05004882812
Oahu	1505177150.0	1094.17004394531
Oahu	1505167150.0	1110.61999511719
Oahu	1505157150.0	1126.46997070312
Oahu	1505147150.0	1132.44995117188
Oahu	1505137150.0	1135.69995117188
Oahu	1505127150.0	1139.85998535156
Oahu	1505117150.0	1136.22998046875
Oahu	1505107150.0	1121.83996582031
Oahu	1505097150.0	1103.03002929688
Oahu	1505087150.0	1069.82995605469
Oahu	1505077150.0	1007.32000732422
Oahu	1505067150.0	941.02001953125
Oahu	1505057150.0	823.039978027344
Oahu	1505047150.0	705.890014648438
Oahu	1505037150.0	651.080017089844
Oahu	1505027150.0	645.380004882812
Oahu	1505017150.0	656.75
Oahu	1505007150.0	688.190002441406
Oahu	1506238150.0	778.431162136067
Oahu	1506228150.0	867.838559006803
Oahu	1506218150.0	971.132283002791
Oahu	1506208150.0	1023.19088587701
Oahu	1506198150.0	1049.83522369681
Oahu	1506188150.0	1033.10244924823
Oahu	1506178150.0	1025.16303532709
Oahu	1506168150.0	1037.41269867401
Oahu	1506158150.0	1034.80010478083
Oahu	1506148150.0	1026.9420338809
Oahu	1506138150.0	1018.96197947243
Oahu	1506128150.0	1014.38741176264
Oahu	1506118150.0	1016.46119345432
Oahu	1506108150.0	1007.52556019795
Oahu	1506098150.0	982.680572198891
Oahu	1506088150.0	928.924313792072
Oahu	1506078150.0	853.332138705395
