fuel	co2_intensity	upstream_co2_intensity	rps_eligible
LSFO-Diesel-Blend	0.07656	0.0	0
LNG	0.0531	0.0	0
Biodiesel	0.0	0.0	1
LSFO	0.0788	0.0	0
Coal	0.0953	0.0	0
Pellet-Biomass	0.0	0.0	1
Diesel	0.0732	0.0	0
