PROJECT	timepoint	proj_max_capacity_factor
Oahu_CentralTrackingPV_100_na	210700	0.0
Oahu_CentralTrackingPV_100_na	210703	0.0
Oahu_CentralTrackingPV_100_na	210706	0.151664614677
Oahu_CentralTrackingPV_100_na	210709	0.775742709637
Oahu_CentralTrackingPV_100_na	210712	0.746476709843
Oahu_CentralTrackingPV_100_na	210715	0.896000027657
Oahu_CentralTrackingPV_100_na	210718	0.728509306908
Oahu_CentralTrackingPV_100_na	210721	0.0
Oahu_CentralTrackingPV_100_na	370700	0.0
Oahu_CentralTrackingPV_100_na	370703	0.0
Oahu_CentralTrackingPV_100_na	370706	0.151664614677
Oahu_CentralTrackingPV_100_na	370709	0.775742709637
Oahu_CentralTrackingPV_100_na	370712	0.746476709843
Oahu_CentralTrackingPV_100_na	370715	0.896000027657
Oahu_CentralTrackingPV_100_na	370718	0.728509306908
Oahu_CentralTrackingPV_100_na	370721	0.0
Oahu_CentralTrackingPV_101_na	210700	0.0
Oahu_CentralTrackingPV_101_na	210703	0.0
Oahu_CentralTrackingPV_101_na	210706	0.191039785743
Oahu_CentralTrackingPV_101_na	210709	0.785447895527
Oahu_CentralTrackingPV_101_na	210712	0.730953097343
Oahu_CentralTrackingPV_101_na	210715	0.886411130428
Oahu_CentralTrackingPV_101_na	210718	0.598094463348
Oahu_CentralTrackingPV_101_na	210721	0.0
Oahu_CentralTrackingPV_101_na	370700	0.0
Oahu_CentralTrackingPV_101_na	370703	0.0
Oahu_CentralTrackingPV_101_na	370706	0.191039785743
Oahu_CentralTrackingPV_101_na	370709	0.785447895527
Oahu_CentralTrackingPV_101_na	370712	0.730953097343
Oahu_CentralTrackingPV_101_na	370715	0.886411130428
Oahu_CentralTrackingPV_101_na	370718	0.598094463348
Oahu_CentralTrackingPV_101_na	370721	0.0
Oahu_CentralTrackingPV_102_na	210700	0.0
Oahu_CentralTrackingPV_102_na	210703	0.0
Oahu_CentralTrackingPV_102_na	210706	0.166129216552
Oahu_CentralTrackingPV_102_na	210709	0.802818000317
Oahu_CentralTrackingPV_102_na	210712	0.75202870369
Oahu_CentralTrackingPV_102_na	210715	0.896000027657
Oahu_CentralTrackingPV_102_na	210718	0.730889797211
Oahu_CentralTrackingPV_102_na	210721	0.0
Oahu_CentralTrackingPV_102_na	370700	0.0
Oahu_CentralTrackingPV_102_na	370703	0.0
Oahu_CentralTrackingPV_102_na	370706	0.166129216552
Oahu_CentralTrackingPV_102_na	370709	0.802818000317
Oahu_CentralTrackingPV_102_na	370712	0.75202870369
Oahu_CentralTrackingPV_102_na	370715	0.896000027657
Oahu_CentralTrackingPV_102_na	370718	0.730889797211
Oahu_CentralTrackingPV_102_na	370721	0.0
Oahu_CentralTrackingPV_103_na	210700	0.0
Oahu_CentralTrackingPV_103_na	210703	0.0
Oahu_CentralTrackingPV_103_na	210706	0.209868893027
Oahu_CentralTrackingPV_103_na	210709	0.809584498405
Oahu_CentralTrackingPV_103_na	210712	0.749538064003
Oahu_CentralTrackingPV_103_na	210715	0.887141048908
Oahu_CentralTrackingPV_103_na	210718	0.598814308643
Oahu_CentralTrackingPV_103_na	210721	0.0
Oahu_CentralTrackingPV_103_na	370700	0.0
Oahu_CentralTrackingPV_103_na	370703	0.0
Oahu_CentralTrackingPV_103_na	370706	0.209868893027
Oahu_CentralTrackingPV_103_na	370709	0.809584498405
Oahu_CentralTrackingPV_103_na	370712	0.749538064003
Oahu_CentralTrackingPV_103_na	370715	0.887141048908
Oahu_CentralTrackingPV_103_na	370718	0.598814308643
Oahu_CentralTrackingPV_103_na	370721	0.0
Oahu_CentralTrackingPV_104_na	210700	0.0
Oahu_CentralTrackingPV_104_na	210703	0.0
Oahu_CentralTrackingPV_104_na	210706	0.210135698318
Oahu_CentralTrackingPV_104_na	210709	0.781401515007
Oahu_CentralTrackingPV_104_na	210712	0.736093759537
Oahu_CentralTrackingPV_104_na	210715	0.887657344341
Oahu_CentralTrackingPV_104_na	210718	0.369588971138
Oahu_CentralTrackingPV_104_na	210721	0.0
Oahu_CentralTrackingPV_104_na	370700	0.0
Oahu_CentralTrackingPV_104_na	370703	0.0
Oahu_CentralTrackingPV_104_na	370706	0.210135698318
Oahu_CentralTrackingPV_104_na	370709	0.781401515007
Oahu_CentralTrackingPV_104_na	370712	0.736093759537
Oahu_CentralTrackingPV_104_na	370715	0.887657344341
Oahu_CentralTrackingPV_104_na	370718	0.369588971138
Oahu_CentralTrackingPV_104_na	370721	0.0
Oahu_CentralTrackingPV_105_na	210700	0.0
Oahu_CentralTrackingPV_105_na	210703	0.0
Oahu_CentralTrackingPV_105_na	210706	0.166944339871
Oahu_CentralTrackingPV_105_na	210709	0.767142474651
Oahu_CentralTrackingPV_105_na	210712	0.737252414227
Oahu_CentralTrackingPV_105_na	210715	0.896000027657
Oahu_CentralTrackingPV_105_na	210718	0.4418836236
Oahu_CentralTrackingPV_105_na	210721	0.0
Oahu_CentralTrackingPV_105_na	370700	0.0
Oahu_CentralTrackingPV_105_na	370703	0.0
Oahu_CentralTrackingPV_105_na	370706	0.166944339871
Oahu_CentralTrackingPV_105_na	370709	0.767142474651
Oahu_CentralTrackingPV_105_na	370712	0.737252414227
Oahu_CentralTrackingPV_105_na	370715	0.896000027657
Oahu_CentralTrackingPV_105_na	370718	0.4418836236
Oahu_CentralTrackingPV_105_na	370721	0.0
Oahu_CentralTrackingPV_106_na	210700	0.0
Oahu_CentralTrackingPV_106_na	210703	0.0
Oahu_CentralTrackingPV_106_na	210706	0.0682011172175
Oahu_CentralTrackingPV_106_na	210709	0.727315604687
Oahu_CentralTrackingPV_106_na	210712	0.69743937254
Oahu_CentralTrackingPV_106_na	210715	0.484787970781
Oahu_CentralTrackingPV_106_na	210718	0.606562852859
Oahu_CentralTrackingPV_106_na	210721	0.0
Oahu_CentralTrackingPV_106_na	370700	0.0
Oahu_CentralTrackingPV_106_na	370703	0.0
Oahu_CentralTrackingPV_106_na	370706	0.0682011172175
Oahu_CentralTrackingPV_106_na	370709	0.727315604687
Oahu_CentralTrackingPV_106_na	370712	0.69743937254
Oahu_CentralTrackingPV_106_na	370715	0.484787970781
Oahu_CentralTrackingPV_106_na	370718	0.606562852859
Oahu_CentralTrackingPV_106_na	370721	0.0
Oahu_CentralTrackingPV_107_na	210700	0.0
Oahu_CentralTrackingPV_107_na	210703	0.0
Oahu_CentralTrackingPV_107_na	210706	0.0864178612828
Oahu_CentralTrackingPV_107_na	210709	0.688768565655
Oahu_CentralTrackingPV_107_na	210712	0.723840892315
Oahu_CentralTrackingPV_107_na	210715	0.455613464117
Oahu_CentralTrackingPV_107_na	210718	0.720785558224
Oahu_CentralTrackingPV_107_na	210721	0.0
Oahu_CentralTrackingPV_107_na	370700	0.0
Oahu_CentralTrackingPV_107_na	370703	0.0
Oahu_CentralTrackingPV_107_na	370706	0.0864178612828
Oahu_CentralTrackingPV_107_na	370709	0.688768565655
Oahu_CentralTrackingPV_107_na	370712	0.723840892315
Oahu_CentralTrackingPV_107_na	370715	0.455613464117
Oahu_CentralTrackingPV_107_na	370718	0.720785558224
Oahu_CentralTrackingPV_107_na	370721	0.0
Oahu_CentralTrackingPV_108_na	210700	0.0
Oahu_CentralTrackingPV_108_na	210703	0.0
Oahu_CentralTrackingPV_108_na	210706	0.107088461518
Oahu_CentralTrackingPV_108_na	210709	0.600101351738
Oahu_CentralTrackingPV_108_na	210712	0.716470897198
Oahu_CentralTrackingPV_108_na	210715	0.44701102376
Oahu_CentralTrackingPV_108_na	210718	0.428751796484
Oahu_CentralTrackingPV_108_na	210721	0.0
Oahu_CentralTrackingPV_108_na	370700	0.0
Oahu_CentralTrackingPV_108_na	370703	0.0
Oahu_CentralTrackingPV_108_na	370706	0.107088461518
Oahu_CentralTrackingPV_108_na	370709	0.600101351738
Oahu_CentralTrackingPV_108_na	370712	0.716470897198
Oahu_CentralTrackingPV_108_na	370715	0.44701102376
Oahu_CentralTrackingPV_108_na	370718	0.428751796484
Oahu_CentralTrackingPV_108_na	370721	0.0
Oahu_CentralTrackingPV_109_na	210700	0.0
Oahu_CentralTrackingPV_109_na	210703	0.0
Oahu_CentralTrackingPV_109_na	210706	0.0868914201856
Oahu_CentralTrackingPV_109_na	210709	0.502470195293
Oahu_CentralTrackingPV_109_na	210712	0.667716801167
Oahu_CentralTrackingPV_109_na	210715	0.472989737988
Oahu_CentralTrackingPV_109_na	210718	0.384300410748
Oahu_CentralTrackingPV_109_na	210721	0.0
Oahu_CentralTrackingPV_109_na	370700	0.0
Oahu_CentralTrackingPV_109_na	370703	0.0
Oahu_CentralTrackingPV_109_na	370706	0.0868914201856
Oahu_CentralTrackingPV_109_na	370709	0.502470195293
Oahu_CentralTrackingPV_109_na	370712	0.667716801167
Oahu_CentralTrackingPV_109_na	370715	0.472989737988
Oahu_CentralTrackingPV_109_na	370718	0.384300410748
Oahu_CentralTrackingPV_109_na	370721	0.0
Oahu_CentralTrackingPV_10_na	210700	0.0
Oahu_CentralTrackingPV_10_na	210703	0.0
Oahu_CentralTrackingPV_10_na	210706	0.145907685161
Oahu_CentralTrackingPV_10_na	210709	0.587068617344
Oahu_CentralTrackingPV_10_na	210712	0.855854511261
Oahu_CentralTrackingPV_10_na	210715	0.855832397938
Oahu_CentralTrackingPV_10_na	210718	0.284154564142
Oahu_CentralTrackingPV_10_na	210721	0.0
Oahu_CentralTrackingPV_10_na	370700	0.0
Oahu_CentralTrackingPV_10_na	370703	0.0
Oahu_CentralTrackingPV_10_na	370706	0.145907685161
Oahu_CentralTrackingPV_10_na	370709	0.587068617344
Oahu_CentralTrackingPV_10_na	370712	0.855854511261
Oahu_CentralTrackingPV_10_na	370715	0.855832397938
Oahu_CentralTrackingPV_10_na	370718	0.284154564142
Oahu_CentralTrackingPV_10_na	370721	0.0
Oahu_CentralTrackingPV_110_na	210700	0.0
Oahu_CentralTrackingPV_110_na	210703	0.0
Oahu_CentralTrackingPV_110_na	210706	0.0807015001774
Oahu_CentralTrackingPV_110_na	210709	0.485421836376
Oahu_CentralTrackingPV_110_na	210712	0.587239801884
Oahu_CentralTrackingPV_110_na	210715	0.472629934549
Oahu_CentralTrackingPV_110_na	210718	0.31234613061
Oahu_CentralTrackingPV_110_na	210721	0.0
Oahu_CentralTrackingPV_110_na	370700	0.0
Oahu_CentralTrackingPV_110_na	370703	0.0
Oahu_CentralTrackingPV_110_na	370706	0.0807015001774
Oahu_CentralTrackingPV_110_na	370709	0.485421836376
Oahu_CentralTrackingPV_110_na	370712	0.587239801884
Oahu_CentralTrackingPV_110_na	370715	0.472629934549
Oahu_CentralTrackingPV_110_na	370718	0.31234613061
Oahu_CentralTrackingPV_110_na	370721	0.0
Oahu_CentralTrackingPV_111_na	210700	0.0
Oahu_CentralTrackingPV_111_na	210703	0.0
Oahu_CentralTrackingPV_111_na	210706	0.0698815435171
Oahu_CentralTrackingPV_111_na	210709	0.521525204182
Oahu_CentralTrackingPV_111_na	210712	0.58035415411
