timepoint_label	lz_demand_mw_as_consumption	DumpPower	LZ_NetDispatch
2007-01-30-00:00	-682.140014648438	-1.2434497875801753e-14	682.140014648438
2007-01-30-01:00	-643.77001953125	2.842170943040401e-14	643.77001953125
2007-01-30-02:00	-632.400024414062	4.263256414560601e-14	632.400024414062
2007-01-30-03:00	-661.369995117188	-2.842170943040401e-14	661.369995117188
2007-01-30-04:00	-724.239990234375	-2.842170943040401e-14	724.239990234375
2007-01-30-05:00	-848.130004882812	0.0	848.130004882812
2007-01-30-06:00	-978.140014648438	5.684341886080802e-14	978.140014648438
2007-01-30-07:00	-1003.14001464844	2.2737367544323206e-13	1003.1400146484398
2007-01-30-08:00	-1051.32995605469	1.9895196601282805e-13	1051.3299560546898
2007-01-30-09:00	-1077.4599609375	-5.684341886080802e-14	1077.4599609375
2007-01-30-10:00	-1085.02001953125	-1.4210854715202004e-14	1085.0200195312502
2007-01-30-11:00	-1099.76000976562	3.517186542012496e-13	1099.7600097656198
2007-01-30-12:00	-1107.25	-1.758593271006248e-13	1107.25
2007-01-30-13:00	-1095.47998046875	1.7763568394002505e-13	1095.47998046875
2007-01-30-14:00	-1096.16003417969	-5.684341886080802e-14	1096.1600341796898
2007-01-30-15:00	-1090.02001953125	5.861977570020827e-14	1090.02001953125
2007-01-30-16:00	-1092.34997558594	1.1368683772161603e-13	1092.3499755859398
2007-01-30-17:00	-1120.32995605469	-1.1368683772161603e-13	1120.32995605469
2007-01-30-18:00	-1188.41003417969	-1.9895196601282805e-13	1188.41003417969
2007-01-30-19:00	-1125.72998046875	8.526512829121202e-14	1125.72998046875
2007-01-30-20:00	-1044.93994140625	2.5224267119483557e-13	1044.9399414062498
2007-01-30-21:00	-950.559997558594	9.947598300641403e-14	950.5599975585938
2007-01-30-22:00	-835.159973144531	7.105427357601002e-14	835.159973144531
2007-01-30-23:00	-739.869995117188	8.526512829121202e-14	739.869995117188
2007-02-17-00:00	-715.02001953125	1.4210854715202004e-13	715.02001953125
2007-02-17-01:00	-676.679992675781	-1.4210854715202004e-14	676.679992675781
2007-02-17-02:00	-657.390014648438	0.0	657.390014648438
2007-02-17-03:00	-655.849975585938	4.263256414560601e-14	655.849975585938
2007-02-17-04:00	-668.530029296875	-1.4210854715202004e-14	668.530029296875
2007-02-17-05:00	-723.869995117188	-7.105427357601002e-15	723.869995117188
2007-02-17-06:00	-798.780029296875	-2.842170943040401e-14	798.780029296875
2007-02-17-07:00	-895.909973144531	1.1368683772161603e-13	895.909973144531
2007-02-17-08:00	-978.489990234375	1.7053025658242404e-13	978.4899902343748
2007-02-17-09:00	-1023.96002197266	3.268496584496461e-13	1023.9600219726599
2007-02-17-10:00	-1038.83996582031	3.019806626980426e-14	1038.83996582031
2007-02-17-11:00	-1031.02001953125	1.9895196601282805e-13	1031.0200195312498
2007-02-17-12:00	-1011.78002929688	8.526512829121202e-14	1011.7800292968798
2007-02-17-13:00	-992.25	3.552713678800501e-14	992.25
2007-02-17-14:00	-985.390014648438	1.4210854715202004e-14	985.3900146484377
2007-02-17-15:00	-985.869995117188	-9.237055564881302e-14	985.869995117188
2007-02-17-16:00	-994.52001953125	1.4210854715202004e-13	994.5200195312498
2007-02-17-17:00	-1004.57000732422	-4.618527782440651e-14	1004.5700073242199
2007-02-17-18:00	-1044.72998046875	-9.947598300641403e-14	1044.72998046875
2007-02-17-19:00	-1013.21002197266	5.684341886080802e-14	1013.2100219726601
2007-02-17-20:00	-967.340026855469	4.973799150320701e-14	967.340026855469
2007-02-17-21:00	-909.450012207031	-1.4210854715202004e-14	909.450012207031
2007-02-17-22:00	-828.909973144531	1.4210854715202004e-14	828.909973144531
2007-02-17-23:00	-747.140014648438	8.526512829121202e-14	747.140014648438
2007-03-12-00:00	-703.289978027344	4.440892098500626e-14	703.289978027344
2007-03-12-01:00	-671.799987792969	-3.552713678800501e-14	671.799987792969
2007-03-12-02:00	-658.059997558594	-2.842170943040401e-14	658.059997558594
2007-03-12-03:00	-669.010009765625	-8.526512829121202e-14	669.010009765625
2007-03-12-04:00	-732.510009765625	7.105427357601002e-15	732.510009765625
2007-03-12-05:00	-858.590026855469	4.263256414560601e-14	858.590026855469
2007-03-12-06:00	-985.599975585938	-3.019806626980426e-14	985.599975585938
2007-03-12-07:00	-1028.08996582031	-7.105427357601002e-14	1028.08996582031
2007-03-12-08:00	-1084.18005371094	3.055333763768431e-13	1084.1800537109398
2007-03-12-09:00	-1119.39001464844	1.2967404927621828e-13	1119.39001464844
2007-03-12-10:00	-1136.94995117188	6.394884621840902e-14	1136.9499511718798
2007-03-12-11:00	-1143.31994628906	1.4921397450962104e-13	1143.3199462890598
2007-03-12-12:00	-1154.73999023438	-1.829647544582258e-13	1154.73999023438
2007-03-12-13:00	-1148.96997070312	-1.5631940186722204e-13	1148.9699707031198
2007-03-12-14:00	-1144.96997070312	2.4158453015843406e-13	1144.9699707031198
2007-03-12-15:00	-1129.88000488281	4.547473508864641e-13	1129.8800048828098
2007-03-12-16:00	-1119.14001464844	9.947598300641403e-14	1119.14001464844
2007-03-12-17:00	-1139.19995117188	-1.7053025658242404e-13	1139.19995117188
2007-03-12-18:00	-1177.03002929688	1.1368683772161603e-13	1177.0300292968798
2007-03-12-19:00	-1149.5	1.1368683772161603e-13	1149.4999999999998
2007-03-12-20:00	-1082.52001953125	1.1368683772161603e-13	1082.5200195312498
2007-03-12-21:00	-990.450012207031	9.592326932761353e-14	990.450012207031
2007-03-12-22:00	-867.080017089844	5.684341886080802e-14	867.080017089844
2007-03-12-23:00	-767.440002441406	9.237055564881302e-14	767.440002441406
2007-04-09-00:00	-668.599975585938	-1.7763568394002505e-14	668.599975585938
2007-04-09-01:00	-638.849975585938	1.0658141036401503e-13	638.849975585938
2007-04-09-02:00	-627.669982910156	0.0	627.669982910156
2007-04-09-03:00	-637.849975585938	-2.6645352591003757e-14	637.849975585938
2007-04-09-04:00	-696.780029296875	3.019806626980426e-14	696.7800292968748
2007-04-09-05:00	-820.309997558594	7.460698725481052e-14	820.3099975585938
2007-04-09-06:00	-938.289978027344	-1.4033219031261979e-13	938.289978027344
