site_id,grid_id,i,j,central_area,net_pv_capacity
292,E,61,84,578540.9566,52.06868609
293,E,61,85,622222.701,56.00004309
294,E,61,86,535990.5275,48.23914747
295,E,61,87,539792.725,48.58134525
296,E,61,88,614920.8292,55.34287463
297,E,61,89,592509.1744,53.3258257
298,E,61,90,173582.3485,15.62241137
299,E,61,91,377011.1099,33.93099989
300,E,61,92,317233.0103,28.55097093
301,E,61,93,105429.0285,9.488612565
302,E,62,56,615223.9862,55.37015876
303,E,62,57,859117.5025,77.32057522
304,E,62,58,788729.5463,70.98565917
305,E,62,59,964052.0345,86.76468311
306,E,62,60,982430.3922,88.4187353
307,E,62,61,754592.6584,67.91333925
308,E,62,62,687648.1815,61.88833633
309,E,62,63,830921.4853,74.78293368
310,E,62,64,620952.9231,55.88576308
311,E,62,65,929548.6652,83.65937987
312,E,62,66,985339.5737,88.68056164
313,E,62,67,654076.3244,58.8668692
314,E,62,68,544444.6192,49.00001573
315,E,62,69,582117.2481,52.39055233
316,E,62,70,653790.0333,58.841103
317,E,62,71,921167.072,82.90503648
318,E,62,72,128986.3314,11.60876983
319,E,62,74,60244.24672,5.421982205
320,E,62,75,854923.2934,76.9430964
321,E,62,76,983181.0194,88.48629175
322,E,62,77,568268.3499,51.14415149
323,E,62,78,967519.9112,87.07679201
324,E,62,79,990102.6067,89.1092346
325,E,62,80,963667.9684,86.73011715
326,E,62,81,245955.8858,22.13602972
327,E,62,82,549741.1529,49.47670376
328,E,62,83,467749.6168,42.09746552
329,E,62,84,99175.45864,8.925791278
330,E,62,85,341829.44,30.7646496
331,E,62,86,315899.5852,28.43096267
332,E,62,87,218859.0474,19.69731427
333,E,62,88,334465.564,30.10190076
334,E,62,89,151219.589,13.60976301
335,E,62,90,53147.07,4.7832363
336,E,62,91,647356.734,58.26210606
337,E,62,92,300412.6589,27.0371393
338,E,62,93,266758.574,24.00827166
339,E,62,94,67222.789,6.05005101
340,E,63,56,277194.4146,24.94749731
341,E,63,57,262876.8141,23.65891327
342,E,63,58,941846.9859,84.76622873
343,E,63,59,868755.9368,78.18803431
344,E,63,60,552470.7823,49.72237041
345,E,63,61,814030.9034,73.2627813
346,E,63,62,849767.469,76.47907221
347,E,63,63,420079.8876,37.80718988
348,E,63,64,97992.21601,8.819299441
349,E,63,65,529907.1634,47.69164471
350,E,63,66,923306.6613,83.09759952
351,E,63,67,304735.4993,27.42619493
352,E,63,68,548301.6168,49.34714552
353,E,63,69,792351.9892,71.31167903
354,E,63,70,789794.7184,71.08152466
355,E,63,71,302824.4037,27.25419634
356,E,63,74,49586.42276,4.462778048
357,E,63,75,709503.652,63.85532868
358,E,63,76,971527.1425,87.43744283
359,E,63,77,409516.855,36.85651695
360,E,63,78,972277.7955,87.50500159
361,E,63,79,958317.1428,86.24854286
362,E,63,80,271229.6285,24.41066657
363,E,63,81,355111.9805,31.96007824
364,E,63,82,296551.9565,26.68967609
365,E,63,83,184538.6153,16.60847538
366,E,63,84,57881.9335,5.209374015
367,E,63,85,357872.0539,32.20848485
368,E,63,86,225011.8493,20.25106644
369,E,63,87,58076.0765,5.226846885
370,E,63,88,87845.046,7.90605414
371,E,63,89,364.4945,0.032804505
372,E,63,90,100757.0467,9.0681342
373,E,63,91,309555.5999,27.86000399
374,E,63,92,146920.1245,13.2228112
375,E,63,93,224304.5492,20.18740943
376,E,63,94,270121.6157,24.31094541
377,E,63,95,27723.56,2.4951204
378,E,64,57,6465.5625,0.581900625
379,E,64,58,562781.3655,50.65032289
380,E,64,59,618087.5871,55.62788284
381,E,64,60,363666.2758,32.72996482
382,E,64,61,538631.7388,48.47685649
383,E,64,62,37303.76318,3.357338686
384,E,64,65,212198.8494,19.09789645
385,E,64,66,318014.4242,28.62129818
386,E,64,67,469296.8547,42.23671692
387,E,64,68,148334.8731,13.35013858
