timepoint_label	Oahu_Kahe_K1	Oahu_Kahe_K3	Oahu_Kahe_K2	Oahu_Kahe_K5	Oahu_Kahe_K4	Oahu_Kahe_K6	Oahu_Waiau_W5	Oahu_Waiau_W7_W8	Oahu_Honolulu_H9	Oahu_Honolulu_H8	Oahu_Tesoro_GEN1	Oahu_Waiau_W10_W9	Oahu_HPower_GEN1	Oahu_Waiau_W4	Oahu_Chevron_GEN1_GEN2_GEN3	Oahu_Kalaeloa_CC1_CC2	Oahu_Waiau_W6	Oahu_Waiau_W3	Oahu_AES_GEN1
2007-01-30-00:00	0.0	0.0	0.0	0.0	0.0	0.0	49.824	81.66641130071942	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-01:00	0.0	0.0	0.0	0.0	0.0	0.0	34.848416183719394	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	0.0	7.21737560760192	151.16050194058752	49.727999999999994	0.0	178.2
2007-01-30-02:00	0.0	0.0	0.0	0.0	0.0	0.0	49.824	77.23842106671937	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	0.0	178.2
2007-01-30-03:00	0.0	0.0	0.0	0.0	0.0	0.0	49.824	60.8963917697194	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-04:00	0.0	0.0	0.0	0.0	0.0	0.0	49.824	123.76638688671939	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-05:00	0.0	0.0	0.0	98.28040153571942	0.0	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-06:00	74.784	0.0	0.0	122.97599999999998	0.0	30.530411300719326	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-07:00	0.0	78.81599999999999	74.97599999999998	0.0	83.712	15.78641130271927	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-08:00	0.0	0.0	0.0	94.21635270271923	83.712	123.55199999999998	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-09:00	0.0	78.81599999999999	42.10635759271929	122.97599999999998	83.712	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-10:00	0.0	78.81599999999999	74.97599999999998	122.97599999999998	58.402416182719094	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-11:00	74.784	68.43840642271914	0.0	122.97599999999998	83.712	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-12:00	0.0	78.81599999999999	0.0	122.97599999999998	32.05639665271917	123.55199999999998	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-13:00	74.784	78.81599999999999	0.0	0.0	68.4783771227194	123.55199999999998	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-14:00	74.784	64.26243083271913	0.0	0.0	83.712	123.55199999999998	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-15:00	74.784	78.81599999999999	74.97599999999998	0.0	83.712	27.882416182719137	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-16:00	74.784	78.81599999999999	65.92437224271919	122.97599999999998	0.0	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-17:00	74.784	78.81599999999999	0.0	122.97599999999998	83.712	10.19235270271929	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-18:00	74.784	78.81599999999999	74.97599999999998	122.97599999999998	83.712	3.2964308327191247	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-19:00	74.784	78.81599999999999	74.97599999999998	0.0	83.712	63.59237712271931	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
2007-01-30-20:00	74.784	0.0	74.97599999999998	61.61833806271932	83.712	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799091199	0.0	57.599999999999994	45.792	7.21737560760192	151.16050194058752	49.727999999999994	45.312	178.2
