PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_AES_GEN1	.	AES_Coal_180_MW_ST	Oahu	0.0	.	4.47
Oahu_CCCT_Biodiesel	.	CCCT_Biodiesel	Oahu	136000.0	.	.
Oahu_CCCT_LNG	.	CCCT_LNG	Oahu	139000.0	.	.
Oahu_CIP_CIP1	.	CIP_Biodiesel_113_MW_GT	Oahu	0.0	.	4.935
Oahu_CentralPV_100_na	.	CentralPV	Oahu	22775.89545	0.604176705	.
Oahu_CentralPV_101_na	.	CentralPV	Oahu	22777.53419	18.24833434	.
Oahu_CentralPV_102_na	.	CentralPV	Oahu	22821.73907	7.60731579	.
Oahu_CentralPV_103_na	.	CentralPV	Oahu	22909.47481	0.88592652	.
Oahu_CentralPV_104_na	.	CentralPV	Oahu	23210.424	1.781721603	.
Oahu_CentralPV_105_na	.	CentralPV	Oahu	23421.08908	2.70960104	.
Oahu_CentralPV_106_na	.	CentralPV	Oahu	29239.07089	0.197217	.
Oahu_CentralPV_107_na	.	CentralPV	Oahu	29874.06497	6.788363032	.
Oahu_CentralPV_108_na	.	CentralPV	Oahu	30520.99703	86.68294672	.
Oahu_CentralPV_109_na	.	CentralPV	Oahu	31185.63682	84.00552545	.
Oahu_CentralPV_10_na	.	CentralPV	Oahu	32157.31383	0.76149036	.
Oahu_CentralPV_110_na	.	CentralPV	Oahu	31874.62116	87.7907193	.
Oahu_CentralPV_111_na	.	CentralPV	Oahu	32571.58815	21.71281608	.
Oahu_CentralPV_112_na	.	CentralPV	Oahu	22044.65988	6.48239274	.
Oahu_CentralPV_113_na	.	CentralPV	Oahu	21912.95464	10.39073283	.
Oahu_CentralPV_114_na	.	CentralPV	Oahu	21780.75458	0.604739172	.
Oahu_CentralPV_115_na	.	CentralPV	Oahu	21782.52971	0.576	.
Oahu_CentralPV_116_na	.	CentralPV	Oahu	21828.81116	8.00866683	.
Oahu_CentralPV_117_na	.	CentralPV	Oahu	21920.58348	30.96552035	.
Oahu_CentralPV_118_na	.	CentralPV	Oahu	22055.25641	9.773283737	.
Oahu_CentralPV_119_na	.	CentralPV	Oahu	28471.65588	0.027	.
Oahu_CentralPV_11_na	.	CentralPV	Oahu	32459.81168	35.47722385	.
Oahu_CentralPV_120_na	.	CentralPV	Oahu	29123.43548	7.157959359	.
Oahu_CentralPV_121_na	.	CentralPV	Oahu	29786.7216	64.77483338	.
Oahu_CentralPV_122_na	.	CentralPV	Oahu	30467.42953	44.65763559	.
Oahu_CentralPV_123_na	.	CentralPV	Oahu	31172.33746	55.18927886	.
Oahu_CentralPV_124_na	.	CentralPV	Oahu	31884.70335	18.24929149	.
Oahu_CentralPV_125_na	.	CentralPV	Oahu	21742.78979	0.7382484	.
Oahu_CentralPV_126_na	.	CentralPV	Oahu	21244.49142	0.90782145	.
Oahu_CentralPV_127_na	.	CentralPV	Oahu	21061.82484	10.48968077	.
Oahu_CentralPV_128_na	.	CentralPV	Oahu	20923.99488	0.288	.
Oahu_CentralPV_129_na	.	CentralPV	Oahu	20831.11917	1.49725512	.
Oahu_CentralPV_12_na	.	CentralPV	Oahu	32792.97877	24.52556394	.
Oahu_CentralPV_130_na	.	CentralPV	Oahu	20785.62996	4.036005708	.
Oahu_CentralPV_131_na	.	CentralPV	Oahu	20787.55166	3.69	.
Oahu_CentralPV_132_na	.	CentralPV	Oahu	20836.10488	1.77738894	.
Oahu_CentralPV_133_na	.	CentralPV	Oahu	20932.29205	1.79998654	.
Oahu_CentralPV_134_na	.	CentralPV	Oahu	21073.34293	7.291984037	.
Oahu_CentralPV_135_na	.	CentralPV	Oahu	28387.81624	4.40542818	.
Oahu_CentralPV_136_na	.	CentralPV	Oahu	29067.93886	81.89267781	.
Oahu_CentralPV_137_na	.	CentralPV	Oahu	29765.13433	73.37438375	.
Oahu_CentralPV_138_na	.	CentralPV	Oahu	30486.32958	74.94700627	.
Oahu_CentralPV_139_na	.	CentralPV	Oahu	31214.39829	53.22221527	.
Oahu_CentralPV_13_na	.	CentralPV	Oahu	33148.60437	0.172286595	.
Oahu_CentralPV_140_na	.	CentralPV	Oahu	31956.25514	0.000112569	.
Oahu_CentralPV_141_na	.	CentralPV	Oahu	20793.18965	1.59392628	.
Oahu_CentralPV_142_na	.	CentralPV	Oahu	20271.68205	0.96944688	.
Oahu_CentralPV_143_na	.	CentralPV	Oahu	20080.22815	3.601611225	.
Oahu_CentralPV_144_na	.	CentralPV	Oahu	19790.52437	3.6662103	.
Oahu_CentralPV_145_na	.	CentralPV	Oahu	19792.60435	11.95765344	.
Oahu_CentralPV_146_na	.	CentralPV	Oahu	26981.40194	1.885182435	.
Oahu_CentralPV_147_na	.	CentralPV	Oahu	27668.40474	41.73899517	.
Oahu_CentralPV_148_na	.	CentralPV	Oahu	28365.82677	57.42432083	.
Oahu_CentralPV_149_na	.	CentralPV	Oahu	29079.90431	61.83877205	.
Oahu_CentralPV_14_na	.	CentralPV	Oahu	33939.24597	1.38955761	.
Oahu_CentralPV_150_na	.	CentralPV	Oahu	29817.72111	65.26664696	.
Oahu_CentralPV_151_na	.	CentralPV	Oahu	30561.76413	69.70563723	.
Oahu_CentralPV_152_na	.	CentralPV	Oahu	31319.12481	37.02895431	.
Oahu_CentralPV_153_na	.	CentralPV	Oahu	32097.57593	36.28939003	.
Oahu_CentralPV_154_na	.	CentralPV	Oahu	32878.94156	4.327618095	.
Oahu_CentralPV_155_na	.	CentralPV	Oahu	19848.08803	1.167302205	.
Oahu_CentralPV_156_na	.	CentralPV	Oahu	19552.99111	2.468637831	.
Oahu_CentralPV_157_na	.	CentralPV	Oahu	19301.18038	8.140174001	.
Oahu_CentralPV_158_na	.	CentralPV	Oahu	19100.06107	4.331463238	.
Oahu_CentralPV_159_na	.	CentralPV	Oahu	18845.60735	0.009	.
Oahu_CentralPV_15_na	.	CentralPV	Oahu	37974.5715	16.00242995	.
Oahu_CentralPV_160_na	.	CentralPV	Oahu	18795.44115	0.99	.
Oahu_CentralPV_161_na	.	CentralPV	Oahu	18797.69298	0.54913626	.
Oahu_CentralPV_162_na	.	CentralPV	Oahu	21491.44215	0.351	.
Oahu_CentralPV_163_na	.	CentralPV	Oahu	24924.50065	0.84470094	.
Oahu_CentralPV_164_na	.	CentralPV	Oahu	25582.55814	0.78910686	.
Oahu_CentralPV_165_na	.	CentralPV	Oahu	26261.09319	16.62157905	.
Oahu_CentralPV_166_na	.	CentralPV	Oahu	26966.49842	54.30962328	.
Oahu_CentralPV_167_na	.	CentralPV	Oahu	27681.65409	42.76188601	.
Oahu_CentralPV_168_na	.	CentralPV	Oahu	28412.97439	68.25163483	.
Oahu_CentralPV_169_na	.	CentralPV	Oahu	29167.70884	53.42957299	.
Oahu_CentralPV_16_na	.	CentralPV	Oahu	38561.09666	15.83090972	.
Oahu_CentralPV_170_na	.	CentralPV	Oahu	29927.95714	53.73607207	.
Oahu_CentralPV_171_na	.	CentralPV	Oahu	30700.99707	66.10311149	.
Oahu_CentralPV_172_na	.	CentralPV	Oahu	31494.7695	77.15095083	.
Oahu_CentralPV_173_na	.	CentralPV	Oahu	32290.76315	57.35481503	.
Oahu_CentralPV_174_na	.	CentralPV	Oahu	18908.15981	0.984589965	.
Oahu_CentralPV_176_na	.	CentralPV	Oahu	18333.35324	17.23947773	.
Oahu_CentralPV_177_na	.	CentralPV	Oahu	18121.55594	14.8191091	.
Oahu_CentralPV_178_na	.	CentralPV	Oahu	17802.82396	1.215	.
Oahu_CentralPV_179_na	.	CentralPV	Oahu	17859.68876	0.063	.
Oahu_CentralPV_17_na	.	CentralPV	Oahu	31207.67519	44.56025235	.
Oahu_CentralPV_180_na	.	CentralPV	Oahu	17972.00993	0.009	.
Oahu_CentralPV_181_na	.	CentralPV	Oahu	18354.77115	0.018	.
Oahu_CentralPV_182_na	.	CentralPV	Oahu	20627.45201	0.99668367	.
Oahu_CentralPV_183_na	.	CentralPV	Oahu	21148.78398	23.87968515	.
Oahu_CentralPV_184_na	.	CentralPV	Oahu	21697.01405	15.39924867	.
Oahu_CentralPV_185_na	.	CentralPV	Oahu	24183.75789	1.469723546	.
Oahu_CentralPV_186_na	.	CentralPV	Oahu	24861.47597	21.62721817	.
Oahu_CentralPV_187_na	.	CentralPV	Oahu	25559.20617	57.89772004	.
Oahu_CentralPV_188_na	.	CentralPV	Oahu	26283.49998	47.66139727	.
Oahu_CentralPV_189_na	.	CentralPV	Oahu	27016.78398	47.4880411	.
Oahu_CentralPV_18_na	.	CentralPV	Oahu	31519.34686	61.71450093	.
Oahu_CentralPV_190_na	.	CentralPV	Oahu	27765.66354	81.26394247	.
Oahu_CentralPV_191_na	.	CentralPV	Oahu	28537.56372	29.82053381	.
Oahu_CentralPV_192_na	.	CentralPV	Oahu	29314.19874	60.58812559	.
Oahu_CentralPV_193_na	.	CentralPV	Oahu	30103.04273	50.15788865	.
Oahu_CentralPV_194_na	.	CentralPV	Oahu	30912.21165	83.06029352	.
Oahu_CentralPV_195_na	.	CentralPV	Oahu	31722.86319	62.74324836	.
Oahu_CentralPV_196_na	.	CentralPV	Oahu	32543.14853	33.41998035	.
Oahu_CentralPV_197_na	.	CentralPV	Oahu	17647.93353	3.896210988	.
Oahu_CentralPV_198_na	.	CentralPV	Oahu	17368.64811	14.19491247	.
Oahu_CentralPV_199_na	.	CentralPV	Oahu	17144.99769	25.94195311	.
Oahu_CentralPV_19_na	.	CentralPV	Oahu	31862.40808	2.259935315	.
Oahu_CentralPV_1_na	.	CentralPV	Oahu	34664.84498	0.14408937	.
Oahu_CentralPV_200_na	.	CentralPV	Oahu	16975.65969	10.55095342	.
Oahu_CentralPV_201_na	.	CentralPV	Oahu	16861.31932	4.84973427	.
Oahu_CentralPV_202_na	.	CentralPV	Oahu	16808.00517	7.100636355	.
Oahu_CentralPV_203_na	.	CentralPV	Oahu	16868.28582	1.257238935	.
Oahu_CentralPV_204_na	.	CentralPV	Oahu	16987.22582	2.060808709	.
Oahu_CentralPV_205_na	.	CentralPV	Oahu	17160.9989	5.346976426	.
Oahu_CentralPV_206_na	.	CentralPV	Oahu	17391.79544	19.46150893	.
Oahu_CentralPV_207_na	.	CentralPV	Oahu	17672.36907	13.31996961	.
Oahu_CentralPV_208_na	.	CentralPV	Oahu	18002.5507	23.50372037	.
Oahu_CentralPV_209_na	.	CentralPV	Oahu	18384.16037	17.57133226	.
Oahu_CentralPV_20_na	.	CentralPV	Oahu	32228.36124	3.04862346	.
Oahu_CentralPV_210_na	.	CentralPV	Oahu	18805.86691	12.56262169	.
Oahu_CentralPV_211_na	.	CentralPV	Oahu	19274.18233	0.162	.
Oahu_CentralPV_212_na	.	CentralPV	Oahu	19775.78018	3.002822595	.
Oahu_CentralPV_213_na	.	CentralPV	Oahu	20319.02887	35.9869106	.
Oahu_CentralPV_214_na	.	CentralPV	Oahu	20889.0985	33.9744553	.
Oahu_CentralPV_215_na	.	CentralPV	Oahu	22777.54094	25.95464633	.
Oahu_CentralPV_216_na	.	CentralPV	Oahu	23461.81687	78.05769627	.
Oahu_CentralPV_217_na	.	CentralPV	Oahu	24159.83994	85.91602356	.
Oahu_CentralPV_218_na	.	CentralPV	Oahu	24877.30045	42.80608749	.
Oahu_CentralPV_219_na	.	CentralPV	Oahu	25620.92187	63.33672121	.
Oahu_CentralPV_21_na	.	CentralPV	Oahu	36585.77042	0.122359783	.
