generation_technology	g_dbid	g_max_age	g_scheduled_outage_rate	g_forced_outage_rate	g_is_variable	g_is_baseload	g_is_flexible_baseload	g_is_cogen	g_competes_for_space	g_variable_o_m	g_energy_source	g_full_load_heat_rate	g_unit_size
AES_Coal_180_MW_ST	AES_Coal_180_MW_ST	145.0	0.0	0.01	0	0	0	0	0	4.47	Coal	10.107	180.0
CCCT_Biodiesel	CCCT_Biodiesel	30.0	0.0384600013494	0.0399999991059	0	0	0	0	0	12.6000000164	Biodiesel	7.63	.
CCCT_LNG	CCCT_LNG	30.0	0.0384600013494	0.0399999991059	0	0	0	0	0	8.19000042975	LNG	7.657	.
CIP_Biodiesel_113_MW_GT	CIP_Biodiesel_113_MW_GT	130.0	0.0	0.04	0	0	0	0	0	4.935	Biodiesel	18.627	113.0
CentralPV	CentralPV	25.0	0.00460000010207	0.00999999977648	1	0	0	0	0	0.0	SUN	.	.
CentralTrackingPV	CentralTrackingPV	25.0	0.00460000010207	0.00999999977648	1	0	0	0	0	0.0	SUN	.	.
Chevron_LSFO_3.2_MW_GT_cogen	Chevron_LSFO_3.2_MW_GT_cogen	130.0	0.358355715588	0.04	0	0	0	1	0	4.935	LSFO	5.623	3.2
Chevron_LSFO_3_MW_GT_cogen	Chevron_LSFO_3_MW_GT_cogen	130.0	0.164655600972	0.04	0	0	0	1	0	4.935	LSFO	5.623	3.0
DistPV	DistPV	25.0	0.00460000010207	0.00999999977648	1	0	0	0	0	0.0	SUN	.	.
HPower_MLG_60_MW_ST	HPower_MLG_60_MW_ST	130.0	0.0	0.04	0	0	0	0	0	6.1425	MLG	.	60.0
Honolulu_LSFO_48.6_MW_ST	Honolulu_LSFO_48.6_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	14.191	48.6
Honolulu_LSFO_51.7_MW_ST	Honolulu_LSFO_51.7_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	14.191	51.7
Kahe_LSFO_128.1_MW_ST	Kahe_LSFO_128.1_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.238	128.1
Kahe_LSFO_128.7_MW_ST	Kahe_LSFO_128.7_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.238	128.7
Kahe_LSFO_77.9_MW_ST	Kahe_LSFO_77.9_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.238	77.9
Kahe_LSFO_78.1_MW_ST	Kahe_LSFO_78.1_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.238	78.1
Kahe_LSFO_82.1_MW_ST	Kahe_LSFO_82.1_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.238	82.1
Kahe_LSFO_87.2_MW_ST	Kahe_LSFO_87.2_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.238	87.2
Kahuku_30_MW_WT	Kahuku_30_MW_WT	120.0	0.0	0.05	1	0	0	0	0	0.0	WND	.	30.0
Kalaeloa_107_MW_CC_cogen	Kalaeloa_107_MW_CC_cogen	130.0	0.264210952392	0.04	0	0	0	1	0	6.1425	LSFO	4.453	107.0
Kalaeloa_5_MW_PV	Kalaeloa_5_MW_PV	125.0	0.0	0.01	1	0	0	0	0	0.0	SUN	.	5.0
Kawailoa_69_MW_WT	Kawailoa_69_MW_WT	120.0	0.0	0.05	1	0	0	0	0	0.0	WND	.	69.0
Reciprocating	Reciprocating	30.0	0.0384600013494	0.0399999991059	0	0	0	0	0	11.7399999872	Biodiesel	8.443	.
SCCT_Biodiesel	SCCT_Biodiesel	30.0	0.0384600013494	0.0399999991059	0	0	0	0	0	14.3799996004	Biodiesel	7.63	.
SCCT_LNG	SCCT_LNG	30.0	0.0384600013494	0.0399999991059	0	0	0	0	0	10.0600002334	LNG	7.657	.
Solar_210_MW_PV	Solar_210_MW_PV	125.0	0.0	0.01	1	0	0	0	0	0.0	SUN	.	210.0
Tesoro_LSFO_20_MW_GT_cogen	Tesoro_LSFO_20_MW_GT_cogen	130.0	0.185430947964	0.04	0	0	0	1	0	4.935	LSFO	4.346	20.0
Waiau_High-Sulfur-Diesel_51.2_MW_GT	Waiau_High-Sulfur-Diesel_51.2_MW_GT	130.0	0.0	0.04	0	0	0	0	0	4.935	High-Sulfur-Diesel	19.049	51.2
Waiau_LSFO_47.2_MW_ST	Waiau_LSFO_47.2_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.055	47.2
Waiau_LSFO_47.7_MW_ST	Waiau_LSFO_47.7_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.055	47.7
Waiau_LSFO_51.8_MW_ST	Waiau_LSFO_51.8_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.055	51.8
Waiau_LSFO_51.9_MW_ST	Waiau_LSFO_51.9_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.055	51.9
Waiau_LSFO_77.8_MW_ST	Waiau_LSFO_77.8_MW_ST	130.0	0.0	0.04	0	0	0	0	0	8.19	LSFO	10.055	77.8
Wind	Wind	20.0	0.00960000045598	0.0500000007451	1	0	0	0	0	0.0	WND	.	.
